username,review,product,clean_review
L***y,Barang dikemas dengan sangat baik sehingga barang dlm kondisi baik dan bagus. Barang yg diterima sesuai pesanan,Natur-E Advanced Soft Capsule Suplemen Vitamin Penghilang Flek,barang kemas sangat baik barang dlm kondisi baik bagus barang yang terima sesuai pesan
C***e,Pengiriman standart. Barang diterima dengan kondisi baik. Packing juga baik. Terima kasih,YOONA All Night Pads 29cm / 36cm Pembalut Kesehatan Organik Organic Pad,kirim standart barang terima kondisi baik packing baik terima kasih
syabhita,"tekstur nya kayak jelly, semoga cocok deh di aku karena baru nyobain",Glad2Glow Centella Blueberry 5% Ceramide Pomegranate 5% Niacinamide Yuja Symwhite 377 Moisturizer Pelembab Gel,tekstur nya kayak jelly moga cocok deh aku baru nyobain
Shofiyyah,"bahannya ringan, gampang diserap dan enak dipakai pokoknya suka banget deh 
💗💗💗",Glad2Glow Centella Blueberry 5% Ceramide Pomegranate 5% Niacinamide Yuja Symwhite 377 Moisturizer Pelembab Gel,bahan ringan gampang serap enak pakai pokok suka banget deh
P***i,"suka bangett, ga bikin berminyak. tampol banget dah",Nuface Cover Me Sun Shield Sunscreen Wajah SPF 30 / SPF 50 Sunblock,suka bangett ga bikin minyak tampol banget dah
n***y,"baru coba pakai semoga cocok di muka q,, kalau cocok next order lagi,,untuk pengiriman lewat tgl estimasi nya..trmksh mimin",The Face Cream Temulawak Krim Wajah Siang & Malam Whitening Cream,baru coba pakai moga cocok muka q kalau cocok next order lagiuntuk kirim lewat tgl estimasi nyatrmksh mimin
A***i,ok mantaf 👍,Ms Glow Men Energizer Facial Wash / Face Wash MsGlow Men,mantaf
R***o,meskipun agak riskan lihat packingnya ternyata cukup aman meskipun saat pengiriman paket dilempar kurir botol parfumnya tidak pecah. untuk wangi parfum ini sendiri menuru... ,Braven Code For Men Eau De Parfum Parfume Tahan Lama Fragrance,meski riskan lihat packingnya nyata cukup aman meski kirim paket lempar kurir botol parfum pecah wangi parfum sendiri menuru
n***r,"Produk diterima dengan baik, Ketika digunakan produk bertekstur gel dan ketika di apply langsung merata dan menyerap dalam kulit, overall pemakaian seminggu kurleb ada ef... ",Pipiqiu 7% Panthenol + 7% Cica Mugwort Skin Barrier Soothing Moisture Gel Pelembab Wajah Moisturizer,produk terima baik guna produk tekstur gel ketika apply langsung rata serap kulit overall pakai minggu kurleb ef
lilis,sama kaya yang di foto semoga bagus,N Pure Cica Clear Pad Sachet Peeling Kapas Pembersih Wajah Npure,sama kaya di foto moga bagus
R***a,dapatnya yg potent hiks hiks...pdhl berharap yg 10% krn lebih nampol.,SKINTIFIC 10% Vitamin C Brightening Glow Serum Glowing Facial Serum,dapat yang potent hiks hikspdhl harap yang 10 krn lebih nampol
t***t,mantap aromanya eank,Parfum Evangeline Batik Aura 100ml / Evangeline Batik 100ml Aura,mantap aroma eank
a***a,mantappp,Animate Instant Whitening Glowing Acne Series Paket Skincare Wajah,mantappp
Fery,Sesuai foto dan deskripsi. Terima kasih.,Kahf Skin Energizing And Brightening Face Wash Sabun Wajah Pria,sesuai foto deskripsi terima kasih
F***d,Agak ada white cast nya,Azarine Hydracool Ceraspray Sunscreen SPF 50 PA+++ Sunscreen Spray ,ada white cast nya
J***e,baguss,Chroma Bright Brightening Body Soap Flohera Sabun Mandi Pemutih Badan,baguss
y***a,blm dicoba smga cck asli gede bgt barang nya,Autumn 5% NIA – HYA Whitening Toner Badan & Wajah Brightening Toner Face Toner,blm coba smga cck asli gede banget barang nya
Fauziah,bagus cuman ini bukan botol pum nya,Facetology Triple Care Hydra Cleanse Micellar Water Pembersih Make Up,bagus cuman bukan botol pum nya
V***a,"yang seri ini wanginya biasa semua, banyak yang sama dengan parfum lainnya. kayanya ketahanannya kurang, intinya spl kurang.",Talkme Star Series Eau De Parfum EDP Parfume Minyak Wangi Luxury Mewah Talk Me,seri wangi biasa semua banyak sama parfum lain kaya tahan kurang inti spl kurang
V***a,"yang ini enak wanginya, tapi masih perlu diuji untuk ketahanan",Talkme Perfume Men And Women Set Series Eau De Perfume Parfum ,ini enak wangi masih perlu uji tahan
Raflie,"mantap barang mendarat dengan aman, sudah dipacking dengan bubble wrap",Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume,mantap barang darat aman dipacking bubble wrap
F***i,sesuai pesanannn,Ms Glow Paket Acne Series Free Pouch / Cream Penghilang Jerawat,sesuai pesanannn
C***A,Kualitas barang ok. Penjual responsif. Terima kasih.,TRUEVE Gentle Low pH Facial Cleanser,kualitas barang jual responsif terima kasih
Febri,"belum aku coba day cream nya ,semoga cocok di kulit aku,soalnya kulit ku sensitif, aku mau pake day cream nya karena aku gamau di bilang magrib,dan semoga aku cocok biar... ",Animate Instant Whitening Glowing Acne Series Paket Skincare Wajah,aku coba day cream nya moga cocok kulit akusoalnya kulit ku sensitif aku mau pake day cream nya aku gamau bilang magribdan moga aku cocok biar
dini,oke bgtt bikin cerah juga apalagi kalo kringetan yaa bikin muka glowing naturalll😍😍,Animate Acne Solution Series 5in1 Paket Skincare Penghilang Jerawat,oke bgtt bikin cerah apalagi kalo kringetan yaa bikin muka glowing naturalll
L***a,sugoi pokonya,Bioaqua Brightening Facial Exfoliating Gel Scrub Wajah Peeling Gel Face Scrub,sugoi poko
j***a,"suka bgt sama wanginya, overall puas✨",ELVICTO 10PM Extrait De Parfum For Men EDP Perfume Tahan Lama ,suka banget sama wangi overall puas
sonhaji,"sudah cocok dgn ini, gentle gak bikin beruntusan, gak bikin kering tp bs membersihkan dg seksama",NPURE Gel Cleanser Noni Probiotics Cleanse Me Softly,cocok dgn gentle gak bikin beruntus gak bikin kering tp bs bersih dg seksama
yhw,barang bagus tapi kelakuan penjualnya ampun. dia bilang barang ready bisa dikirim gosend instan. ternyata dikirim besoknya itu pun ga dikirim pagi2 tapi siang. alasannya... ,O.TWO.O Makeup Base Cream Invisible Pore Soft Focus Make Up Primer Zero Pores Primer Face Primer,barang bagus laku jual ampun bilang barang ready kirim gosend instan nyata kirim besok pun ga kirim pagi2 siang alas
Benny,"kemarin saya tanyakan apa bisa kirim instant, dijawab bisa, saya bayar dengan biaya kirim instant 3 jam, dan barang baru dikirim keesokan harinya, kalau tahu gitu buat ap... ",Orizen Peach Powder Drink Minuman Serbuk Pelangsing Peach Detox Tea ,kemarin tanya apa kirim instant jawab saya bayar biaya kirim instant 3 jam barang baru kirim esok hari kalau tahu gitu buat ap
r***a,"aman pokoknya, puasss sekaliijsjsjsjwjjsjsn",Autumn 7% Glycolic Acid Toner Solution Exfoliating Toner Wajah,aman pokok puasss sekaliijsjsjsjwjjsjsn
b***y,koq aku coba cek barcode nya tidak terbaca ya..harusnya kan keluar nama produk jika memang sdh terdaftar bpom..jadi ragu deh,Gendes Paket Bundling Feminine Wash Foam & Sweet Aromatic Feminine Care Spray Pembersih Kewanitaan,koq aku coba cek barcode nya baca yaharusnya kan keluar nama produk memang sdh daftar bpomjadi ragu deh
K***a,"penjualnya amanah, terimakasih kak",Parfum Evangeline Batik Elle 100ml / Parfum Wanita Original,jual amanah terimakasih kak
l***i,Packing rapi,The Originote Bright B3 Serum Niacinamide + Glutathione - 20ml,packing rapi
N***e,"perpect🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰 
#thanks dunia kecantikan😘 #thanks tokopedia😘 #thanks ID express😘",Dear Me Beauty Serum Lip Tint / Lip Stain - 3ml,perpect thanks dunia cantik thanks tokopedia thanks id express
Ivan,"Tampak lebih moist, ga bikin kulit ketarik...terima kasih",Clinelle Caviar Gold Firming Cleanser Gel Face Wash Facial Cleanser,tampak lebih moist ga bikin kulit ketarikterima kasih
a***h,"bagus banget, texturenya ringan, gampang menyerap jugaa",Dear Me Beauty Skin Barrier Sunscreen SPF 50 PA++++,bagus banget texturenya ringan gampang serap jugaa
Laili,barang okey... expayert masih lama 2027,The Face Cream Temulawak Krim Wajah Siang & Malam Whitening Cream,barang okey expayert lama 2027
Adinna,bagusss lembutt,Mooi Pure Glow Tone Up Booster Serum Glowing Wajah Lotion Pencerah Kulit Hand Body Body Lotion,bagusss lembutt
Unip,barang sesuai,Glad2Glow Centella Salicylic Acid Acne Gel Cleanser Facial Wash Face Wash Jerawat Sabun Wajah,barang sesuai
Fikri,mantap dapat harga murah,Kahf Triple Protection Sunscreen Moisturizer SPF 30 PA+++ Sunblock,mantap harga murah
Robert,Fast response n delivery 👍🏻,Nuface Nu Glow Facial Wash Gel Hydra Lock | Brighten | Acne FaceWash,fast response n delivery
Robert,Fast response n delivery 👍🏻👍🏻,Grace And Glow - Body Wash Scrub 2in1 Body Care Parfume,fast response n delivery
A***r,"blind buy yg kesekian kalinya overall mantep, cuma ga berharap lebih di spl nya dengan harga segini, love braven ✌️",Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume,blind buy yang sekian kali overall mantep cuma ga harap lebih spl nya harga gin love braven
M***n,Pas sampai di hari libur. Semoga cocok produknya. Terima kasih Admin & kurir :-D,Yessica's 5in1 Crystal Glowing Cream Krim Wajah Goat Milk Moisturizer Facial Moist Pelembab Wajah Yessica,pas di hari libur moga cocok produk terima kasih admin kurir d
Muhammad,mantap,ELVICTO Brightening Serum For Men Serum Wajah Whitening Pencerah ,mantap
A***i,alhamdulillah brg selamat poko nya the best toko nya,Geamoore Parfum Wanita Addicted Series 15ml EDP Geamore Geamor,alhamdulillah brg selamat poko nya the best toko nya
keysha,mantap toko nya amanah, FEALI 5x Pro-Xylane Anti Aging Moisturizing Cream And Goat Milk,mantap toko nya amanah
F***a,"oriii, ringan, ga bikin kulit ketarik, bisa untuk mencerahkan, murah lagii😭😭",MS Glow Face Wash | Sabun Wajah MS Glow MSGlow,oriii ringan ga bikin kulit tarik untuk cerah murah lagi
S***i,mantapp,Braven Code For Men Eau De Parfum Parfume Tahan Lama Fragrance ,mantapp
Alya,"warnanya bagus, lumayan tahan lama",Azarine x Red Velvet Tinted Lippie Cake Lip Tint Stain ,warna bagus lumayan tahan lama
r***a,bahan nya ringgap gampang diserap,STUDIO TROPIK Priming Water BB Size Series Setting Spray,bahan nya ringgap gampang serap
a***a,"sesuai bgt, wangi + ori pokonya mantap dehh 🥹🤍",Mooi Pure Glow Tone Up Booster Serum Glowing Wajah Lotion Pencerah Kulit Hand Body Body Lotion,sesuai banget wangi ori poko mantap dehh
d***i,"melembabkan, beruntusan berkurang, komedo berkurang, bagus deh",NPURE 30ML Face Toner Centella Asiatica (Cica Series),melembabkan beruntus kurang komedo kurang bagus deh
R***a,makasih pesenannya udah datang semoga cocok 🥰,Ms Glow Paket Acne Series Free Pouch / Cream Penghilang Jerawat,makasih sen udah datang moga cocok
Fadila,bahan nya cepet menyerap,Camille Little Pop Face Mist Setting Spray Makeup Penyegar Wajah ,bahan nya cepet serap
S***i,"Baru pertama pakai, & Smg cocok",BIBILOP Lightening Underarm Spray 2in1 Deodorant & Whitening Cream Deo Spray,baru pertama pakai smg cocok
N***a,maaf min karena barang nyampe gak tempat waktu hampir seminggu malahan jadi ⭐ 3 dulu yaa,Evangeline Musk Series Parfum Wanita Eau De Parfume Tahan Lama,maaf min barang nyampe gak tempat waktu hampir minggu malah jadi 3 dulu yaa
sasmita,teman saya pakai produk ini cocok di kulitnya.,Glad2Glow Centella Blueberry 5% Ceramide Pomegranate 5% Niacinamide Yuja Symwhite 377 Moisturizer Pelembab Gel,teman pakai produk cocok kulit
C***a,"belum di pakai, semoga warna awet dan hasil memuaskan",Diosys Semir Rambut Cat Pewarna Rambut Hari Color Permanent Dyosis,di pakai moga warna awet hasil muas
A***N,"cocok, udah botol ke 4",Secret Clean Propolis Antiseptic Mouthwash Obat Kumur Pembersih Mulut,cocok udah botol 4
Risa,"bahannya ringan cepet menyerap trus bagus banget, tokonya juga amanah pokoknya the beast dehh",Glad2Glow Centella Blueberry 5% Ceramide Pomegranate 5% Niacinamide Yuja Symwhite 377 Moisturizer Pelembab Gel,bahan ringan cepet serap trus bagus banget toko amanah pokok the beast dehh
B***s,"bau nya enak, lumayan lah buat harga segini 😁",Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume,bau nya enak lumayan lah buat harga gin
Indana,besttttttt🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰😝🥰,Nuface Cover Me Sun Shield Sunscreen Wajah SPF 30 / SPF 50 Sunblock,besttttttt
M***S,bakal jadi member ni kayanya aku,Talkme Black Bacarat - 35ml Eau De Parfume Cowok Tahan Lama Talkme,bakal jadi member ni kaya aku
Y***i,bagus dan harum wangi membuat pipi jadi lebih bersih Oke gitu ya,Body White Aha Brightening Body Toner 250ml Toner Badan ,bagus harum wangi buat pipi jadi lebih bersih oke gitu
S***i,sd dtng kemasan aman,Fameux Body Cream ( Bleaching) 500 ml,sd dtng kemas aman
Yustivan,Mantan pengiriman cepat,FACETOLOGY Triple Care Sunscreen SPF 40 PA+++ Sunblock Wajah ,mantan kirim cepat
F***n,mantaappp barang Sangat sesuaii👍👍👍👍👍,Braven Code For Men Eau De Parfum Parfume Tahan Lama Fragrance ,mantaappp barang sangat sesuai
Wahyu,Sangat Baik,Yessica's 5in1 Crystal Glowing Cream Krim Wajah Goat Milk Moisturizer Facial Moist Pelembab Wajah Yessica,sangat baik
Dewi,"makasih tokopedia..
dapat diskon 10 rb.
barangnya mantul tdk ada lecet samasekali.
semoga cocok di kulit aku.",Autumn 5% NIA – HYA Whitening Toner Badan & Wajah Brightening Toner Face Toner,makasih tokopedia dapat diskon 10 rb barang mantul tidak lecet samasekali moga cocok kulit aku
Azka,"beli dua, dapet dua..",Parfum Evangeline Batik Aura 100ml / Evangeline Batik 100ml Aura,beli dapet
Susi,after nya ada abu² nya,ISWHITE 5in1 Glow Body Sunscreen SPF 45 PA+++ Sunblock Badan ,after nya abu nya
Angga,"Aromanya enak, meskipun daya tahannya kurang lama 👍",Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume,aroma enak meski daya tahan kurang lama
A***a,"real pict, baguss mana murah bgtt top deh",Mooi Pure Glow Tone Up Booster Serum Glowing Wajah Lotion Pencerah Kulit Hand Body Body Lotion,real pict baguss mana murah bgtt top deh
Dewi,ternyata wangi nya soft banget.. suka sekali,Evangeline Premium EDP 100ml Parfum Wanita Perfume Tahan Lama,nyata wangi nya soft banget suka sekali
Vivi,"Suka bangettt wanginya aku bangett, udah lama pingin beli akhirnya kebeli jugaa, makasihh admin",CARESO Body Frangrance Series - 100ml Body Perfume Spray,suka bangettt wangi aku bangett udah lama pingin beli akhir kebel jugaa makasihh admin
f***i,nyobain ganti dan ternyata nyaman banget gada rasa keset tapi berasa beraih terus wanginya juga gentle bukan yang nyengat parah kayaknya kalau habis bakal purchase merk i... ,Milk Recipe Gentle Feminine Wash Mengurangi Bau Pembersih Kewanitaan,nyobain ganti nyata nyaman banget gada rasa keset asa raih terus wangi gentle bukan nyengat parah kayak kalau habis bakal purchase merk i
S***a,wangi,CARESO Body Frangrance Series - 100ml Body Perfume Spray,wangi
Kj,"efek langsung kerasa, raambut kering kaku langsung jadi lemes, wangi juga. bakal langganan kek nya😆",Makarizo Hair Energy FIbertherapy Hair & Scalp Creambath Masker Rambut,efek langsung rasa raambut kering kaku langsung jadi lemes wangi bakal langgan kek nya
M***a,"lucuuu mungil, warnanya juga Pigmented bgt bagusss😍😍",Goute Goublush All in One Cream Blush for Blush On Eye Shadow ,lucuuu mungil warna pigmented banget bagusss
y***i,"fast respon, semoga cocok. makasih",Golden Viera Soap / Sabun Pembersih Wajah Berjerawat / Sabun Jerawat,fast respon moga cocok makasih
Astrid,seller ramah pengiriman cepat puas pokok e,Diosys Semir Rambut Cat Pewarna Rambut Hari Color Permanent Dyosis,seller ramah kirim cepat puas pokok e
m***n,salah kirim,Animate Acne Solution Series 5in1 Paket Skincare Penghilang Jerawat,salah kirim
B***t,"Oke sesuai deskripsi dan pesanan, Terima kasih.....",SKINTIFIC Symwhite 377 Dark Spot Moisturizer Gel Cream Flek Hitam,oke sesuai deskripsi pesan terima kasih
B***t,"Oke sesuai deskripsi dan pesanan, Terima kasih.....",SKINTIFIC 5X Ceramide Serum Sunscreen SPF50 PA++++ Sunblock Wajah UVA,oke sesuai deskripsi pesan terima kasih
Welly,ok,MS Glow Face Wash | Sabun Wajah MS Glow MSGlow,
M***l,"sekitar seminggu pemakaian, masih ada ketombe dan tetep gatel. kurang efektif.",FELAUFEE Dandruff Treatment Serum Shampoo Anti Ketombe Sampo Anti Lepek,minggu pakai ada ketombe tetep gatel kurang efektif
I***a,"Barang datang dengan selamat, packing rapih, produk ringan saat dipakai dan membuat make up tahan lama",STUDIO TROPIK Priming Water BB Size Series Setting Spray,barang datang selamat packing rapih produk ringan pakai buat make up tahan lama
Sri,"produknya,kwalitasnya bgs,sy cocok sdh lama pakai produk ini. dan rasa puas,di kulit wajah JD halus,TDK kering,lembab trs.",Azarine C-White Brightening Facial Cleanser / Face Cleanser Azarine,produknyakwalitasnya bgssy cocok sdh lama pakai produk dan rasa puasdi kulit wajah jd halustdk keringlembab terus
D***a,😁 wangi banget parfumnya,Braven Code For Men Eau De Parfum Parfume Tahan Lama Fragrance ,wangi banget parfum
s***i,biar bintang yang berbicara❤️,Vaseline Gluta-Hya Serum Burst Lotion Body Serum Body Lotion,biar bintang bicara
o***a,tekstur nya ringan bahan nya enak pengemasan nya cepet sih pengiriman nya juga ori barang nya,SKINTIFIC 5X Ceramide Skin Barrier Moisture Gel Moisturizer Cream,tekstur nya ringan bahan nya enak emas nya cepet sih kirim nya ori barang nya
Ramadhan,"tidak menyerap di wajah jadi kaya bedakan, dijadiin hand cream aja deh",The Face Cream Temulawak Krim Wajah Siang & Malam Whitening Cream,serap wajah jadi kaya beda dijadiin hand cream aja deh
Nina,wanginya tahan lama,Herborist Juice For Skin Body Serum - 180gr,wangi tahan lama
alkahfi,mantap dengan harga seginu kalo itu bakal beli mulu deh hehe,Kahf Skin Energizing And Brightening Face Wash Sabun Wajah Pria,mantap harga seginu kalo bakal beli mulu deh hehe
N***i,alhamdulillah aman,MS Glow Men Maskulin 2 In 1 Body Lotion Parfume MsGlow For Men,alhamdulillah aman
m***d,good,The Originote Niaceramide Sunscreen Mist SPF 50 PA++++ Sunblock Spray,good
amir,mantap,Reglow Double Action Acne Spot Gel Obat Totol Jerawat Acne Treatment,mantap
Meli,bgus,PERFECT WHITE AHA Body Serum Whitening & Moisturizing Serum Pemutih Badan,bgus
Wuriono,ampuh menghilangkan bau mulut,Secret Clean Propolis Antiseptic Mouthwash Obat Kumur Pembersih Mulut,ampuh hilang bau mulut
dino,berlangganan,KELAYA Hair Treatment Shampoo Extract Aloe Vera & Minyak Kemiri,langgan
dino,berlangganan dan selalu memuaskan,KELAYA Hair Treatment Shampoo Extract Aloe Vera & Minyak Kemiri,langgan selalu muas
D***k,"barang datang aman packing, sesuai gambar.baru dicoba sekali",FELAUFEE Dandruff Treatment Serum Shampoo Anti Ketombe Sampo Anti Lepek,barang datang aman packing sesuai gambarbaru coba sekali
D***y,"barang bagus, penjual fast respon tapi kurir lambat",Ms Glow Paket Luminous Series Free Pouch / Ms Glow Original,barang bagus jual fast respon kurir lambat
Ophi,Mantaff.. Sesuai dengan pesanan,Braven Black Series - 100ml Eau De Parfume Men,mantaff sesuai pesan
Y***i,puas bangettt,Chierra Pink Glow Up Mask Masker Wajah Whitening Agents Clay Mask,puas bangettt
David,"Seller keren banget, kesalahan saya bisa dibantu sm ybs. Semoga selalu ditambahkan rezekinya",SKINTIFIC 10% Vitamin C Brightening Glow Serum Glowing Facial Serum,seller keren banget salah bisa bantu sm ybs moga selalu tambah rezeki
D***i,"wangi baby, seger seger khas gimana gituu",Evangeline Premium EDP 100ml Parfum Wanita Perfume Tahan Lama,wangi baby seger seger khas gimana gituu
Daniel,Packing super aman.,MOSSERU 3% Tranexamic Bright Booster Serum Tranexamic Acid Niacinamide Brightening Serum,packing super aman
a***o,semoga cocok dikulit yg berjerawat.,Golden Viera Soap Original Asli Paket Hemat 3pcs,moga cocok kulit yang jerawat
d***a,"mantap, membuat kaki jadi kinclong dan lembut",Noera Exfoliating Foot Mask Masker Kaki Foot Pedicure,mantap buat kaki jadi kinclong lembut
Dika,puas banget sma Artha skincare wajah nya..enak banget dimuka🥰🥰👍🏻,Paket Wajah Artha Skincare Wajah Whitening Pencerah Wajah,puas banget sma artha skincare wajah nyaenak banget muka
a***n,mantaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaap,Kelaya Hair Revitalizer Mist Hair Parfum Vitamin Rambut Hair Care,mantaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaap
Ferdi,"Recommended seller. Fast  and delivery.  Good  quality , and price and original goods.",Braven Men Sport Deodorant Roll On - 50ml Anti Perspirant Quick Dry,recommended seller fast and delivery good quality and price and original goods
Icha,"ordernya kejauhan. Lupa udh balik Jkt. Jd nunggunya kelamaan
tapi warnanya sih cakep. smg di bibir jatuhnya gk tua",O.TWO.O Haute Hydrating Vinyl Lip Gloss Moisturizing High Shine Watery Formula Plump Lip Tint OTWOO,order jauh lupa udh balik jkt jd nunggunya lama tapi warna sih cakep smg bibir jatuh gak tua
Zahra,"packing nya rapi , suka sekali sama produk g2g",Glad2Glow Centella Blueberry 5% Ceramide Pomegranate 5% Niacinamide Yuja Symwhite 377 Moisturizer Pelembab Gel,packing nya rapi suka sekali sama produk g2g
R***n,wangi nya enak cocok untuk malam hari,Braven Code For Men Eau De Parfum Parfume Tahan Lama Fragrance ,wangi nya enak cocok malam hari
Yudi,"So far so good, terasa enteng di muka, gak bikin kaku",ELVICTO Brightening Serum For Men Serum Wajah Whitening Pencerah ,so far so good asa enteng muka gak bikin kaku
Puji,sesuai deskripsi tapi minyak zaitun nya sedikit tumpah karena tutup nya kurang rapat . mohon di beri lakban fragile,Mustika Ratu Hair Care - Minyak Zaitun Hair Oil Cem-Ceman Hair Tonic,sesuai deskripsi minyak zaitun nya sedikit tumpah tutup nya kurang rapat mohon beri lakban fragile
Syaiful,"mantap luar biasa
exp msih lama

cocok untuk aktifitas cwok²",Kahf All-in-One Power Toning Face Spray 100 ml - Toner Wajah Pria,mantap luar biasa exp msih lama cocok aktifitas cwok
Syaiful,"mantap luar biasa
exp msih lama

cocok untuk aktifitas cwok²",Kahf Triple Protection Sunscreen Moisturizer SPF 30 PA+++ Sunblock,mantap luar biasa exp msih lama cocok aktifitas cwok
Amelia,Shamponya bagus bgt pemakain pertama kepala adem dan ketombenya pd kabur,FELAUFEE Dandruff Treatment Serum Shampoo Anti Ketombe Sampo Anti Lepek,shamponya bagus banget pemakain pertama kepala adem ketombe pd kabur
Yanuar,"dapet harga miring, puas banget",Natur-E White Brightening Soft Capsule Suplemen Vitamin Kecantikan ,dapet harga miring puas banget
T***i,"kecil tapi buat beruntusan ilang dikit, tapi bagus bgt. semoga cocok",SKINTIFIC 5X Ceramide Skin Barrier Moisture Gel Moisturizer Cream,kecil buat beruntus ilang dikit bagus banget moga cocok
Ridwan,"produk ori, packing ok sangat aman, seller fast respon. 
okok",Azarine Active Bright - Brightening Night Moisturiser - 20gr,produk ori packing sangat aman seller fast respon okok
Mario,ok ori,Ms Glow Men Energizer Facial Wash / Face Wash MsGlow Men,ori
s***i,mantap,FACETOLOGY Triple Care Sunscreen SPF 40 PA+++ Sunblock Wajah ,mantap
a***a,baguuusss banget..aku syuka,Scarlett Whitening Body Lotion Pemutih Badan Hand Body Scarlet,baguuusss bangetaku syuka
D***i,"wanginya kuat, tapi lama-kelamaan memudar",Parfum Evangeline Sakura Red 100ml / Evangeline Sakura Red 100ml,wangi kuat lamakelamaan pudar
Gunawan,Bagus sekali packingnyaa...,TAKEDA Pro TKD-H8 Rapid Dry Hairdryer Pengering Rambut Takeda Hair Dryer,bagus sekali packingnyaa
Gunawan,Bagus sekali packingnya,M-Joptim Repairing Renewal Face Oil Essence Essens Essences Mjoptim,bagus sekali packingnya
Gunawan,Suuper sekalii..,Paket The Favored One BB Glow Beauty Mask & Le Shine Water,suuper sekali
Gunawan,Selalu langganan di Toko ini,Dr Schatz Goji Luminous Serum Lotion Drschatz Bekas Jerawat,selalu langgan toko
Gunawan,Love it....,M-Joptim Astaxanthin Illuminating Toner M Joptim MJoptim,love it
Gunawan,Selalu langganan di toko ini...,M-Joptim Bubble Moisturizing Mask M Joptim MJoptim,selalu langgan toko
Gunawan,Bagus sekali packingnya..,M-Joptim Anti-Wrinkle Lifting Peptide Capsule Kapsul Essence Antiaging,bagus sekali packingnya
Gunawan,Bagus sekali packingnyaa,TakedaPro TKD-9978 Proffesional Hair Dryer 1100W Hairdryer Pengering Rambut Hair Dresser Takeda,bagus sekali packingnyaa
Lukita,"Ringan, lembut di kulit, tidak menyebab iritasi, cocok untuk kulit sensitif, harga bersaing 👍👍👍",NPURE Gel Cleanser Noni Probiotics Cleanse Me Softly,ringan lembut kulit sebab iritasi cocok kulit sensitif harga saing
herdika,"aromanya kurang suka, seperti aroma yang bapa bapa",Miniso Garden Of Mirror Bleu Parfum Eau De Parfum Tahan Lama Parfume Men EDP,aroma kurang suka aroma bapa bapa
j***a,"packing tebal, pengiriman cepat",Facetology Triple Care Hydra Cleanse Micellar Water Pembersih Make Up,packing tebal kirim cepat
dedeh,hand bodynya blepotan. karna .pas dibuka tutupnya ga ada  lapisan fowerup,Bibit Ratu Arab Pemutih Badan Original Bibit Pemutih Lotion Badan,hand bodynya blepot karna pas buka tutup ga lapis fowerup
M***d,"barang datang dengan cepat, cuman kenapa ya ko bungkus plastik nya banyak noda dan sedkit berdebu",SKINTIFIC 5X Ceramide Skin Barrier Moisture Gel Moisturizer Cream,barang datang cepat cuman ya ko bungkus plastik nya banyak noda sedkit debu
V***y,"wanginya harum,halus di rambut,cocok di semua tipe rambut",Hair Mask Lae Sa Luay Smooth Keratin Masker Spa Rambut Creambath 250ml,wangi harumhalus rambutcocok semua tipe rambut
Danar,"recommended seller, sudah langganan disini, barang selalu original, barcode tembus",Ms Glow Men Energizer Facial Wash / Face Wash MsGlow Men,recommended seller langgan sini barang selalu original barcode tembus
Jingga,Barang pesanan tidak saya terima,Rintik Skincare No Bump Lotion Acne Body Lotion Kulit Bruntusan Jerawat Punggung & Chicken skin,barang pesan saya terima
Septy,"respon penjual sangat baik,pengiriman cepat packing rapi",Gendes Sweet Aromatic Feminine Spray 7 Miracle Bioactives Merawat Kewanitaan,respon jual sangat baikpengiriman cepat packing rapi
I***u,harum sepanjang hari,Braven Men Sport Deodorant Roll On - 50ml Anti Perspirant Quick Dry,harum panjang hari
iwan,"DAPET HARGA 15RIBU AJAA YWYEYWYYWYWY  7,5/10 DEH WHHEHE",TALKME Sparkling Body Mist Parfum Fragrance Mist Tahan Lama Talk Me,dapet harga 15ribu ajaa ywyeywyywywy 7510 deh whhehe
Darno,"mantap sih keren,,,mandi pagi langsung pake dong ,,,dan wangiiiii👍",Gendes Paket Bundling Feminine Wash Foam & Sweet Aromatic Feminine Care Spray Pembersih Kewanitaan,mantap sih kerenmandi pagi langsung pake dong wangiiiii
s***a,"biasa aja wanginya, dominan alkohol, dry downnya aneh :(( mungkin ga cocok ajaa yaa buatku",Evangeline Premium EDP 100ml Parfum Wanita Perfume Tahan Lama,biasa aja wangi dominan alkohol dry downnya aneh mungkin ga cocok ajaa yaa buat
