username,review,product,clean_review
W***i,isinya dikit bet uyyy tapi ga papa tetep bagus semoga cocok,Animate Glowing Barrier Skin Repair Series 5in1 Paket Skincare Animate,isi dikit bet uyyy ga papa tetep bagus moga cocok
E***o,"Alhamdulillah pesanan sudah saya terima dengan baik, pengiriman cepat. Terima kasih buat seller dan kurir, semoga sukses 💯👍",Bright & Glow Face Soap by Kojic Plankton | Brightening Soap - 40gr,alhamdulillah pesan saya terima baik kirim cepat terima kasih buat seller kurir moga sukses
Rendra,🔥🔥🔥🔥🔥 top,Gendes Paket Bundling Feminine Wash Foam & Sweet Aromatic Feminine Care Spray Pembersih Kewanitaan,top
Rizqi,"semoga tidak overclaim, moisturizer cukup enak dipake untuk aku yg tipe kulit kering. dpt free masker juga 💞",Pipiqiu 10% Niacinamide + Tranexamic Acid Extra Bright Skin Barrier Moisture Gel Pelembab Moisturizer,moga overclaim moisturizer cukup enak dipake aku yang tipe kulit kering dpt free masker
Moch,"Ori sesuai dengan deskripsi, terima kasih banyak kak...",Azarine Cicamide Barrier Sunscreen Moisturiser SPF35 PA+++,ori sesuai deskripsi terima kasih banyak kak
novita,"teksturnya lembut,ngga padet
blm coba jangka panjang smg cocok❗",Animate Instant Whitening Glowing Acne Series Paket Skincare Wajah,tekstur lembutngga padet blm coba jangka panjang smg cocok
p***e,"sesuai pesanan, pengiriman cepat pengemasan rapih ❤️",Autumn 7% Glycolic Acid Toner Solution Exfoliating Toner Wajah,sesuai pesan kirim cepat emas rapih
Lasmini,"barang yg datang sekilas nampak sama tulisan dr shindu putri di tutupin, trs isi cairanya beda sama yg pertama saya beli , klo yg prtma saya beli cairanya putih, yg sekar... ",Reglow Sunscreen Luxury Glow Up Protection SPF 50 PA+++ Sunblock Spray,barang yang datang kilas nampak sama tulis dr shindu putri tutupin terus isi cairanya beda sama yang pertama beli klo yang prtma beli cairanya putih yang sekar
GeeK,trima kasih paket sudah mendarat dan sesuai dengan pesanan,The Originote Bright B3 Serum Niacinamide + Glutathione - 20ml,trima kasih paket darat sesuai pesan
Zarya,"Paket ok, aman dengan bubble wrap. Produk ok, sesuai, tidak terlihat cacat dan EXP masih lama. Terina kasig.",Somethinc Low pH Gentle Jelly Cleanser Sabun Wajah Face Wash Somethinc,paket aman bubble wrap produk sesuai lihat cacat exp lama ina kasig
H***a,baguss,Autumn 5% NIA – HYA Whitening Toner Badan & Wajah Brightening Toner Face Toner,baguss
n***a,"teksturnya agak susah dibland,tapi masih gampang ngerti gak sihh😭,tipkul aku normal to dry semoga cocok💋💋",Animate Instant Glow Sunscreen Protection Sunblock Wajah SPF50+,tekstur susah diblandtapi gampang ngerti gak sihhtipkul aku normal to dry moga cocok
jumaini,belum ada hasilnya masih 2 hari pemakaian,Autumn 5% NIA – HYA Whitening Toner Badan & Wajah Brightening Toner Face Toner,ada hasil 2 hari pakai
A***s,Pengiriman sampai 6 hari,Herborist Olive Oil + Collagen Series Minyak Zaitun Collagen,kirim 6 hari
susilawati,cepatbpengirimannya,Nuface Nu Flawless Loose Powder Series Bedak Tabur Wajah,cepatbpengirimannya
f***i,"product sesuai dengan deskripsi, baru 3 hari pakai udah terasa perbedaanya. cuman pengirimannya aja lama",KELAYA Hair Treatment Shampoo Extract Aloe Vera & Minyak Kemiri,product sesuai deskripsi baru 3 hari pakai udah asa perbedaanya cuman kirim aja lama
Bayu,bagus,STUDIO TROPIK Priming Water BB Size Series Setting Spray,bagus
G***g,enak wanginya bau kue ada aroma vanilla sedikit sebelumnya nyoba yg black vanilla seger kalo yg ini maniss kalo didiemin lama2 jadi soft wanginya,Evangeline Premium EDP 100ml Parfum Wanita Perfume Tahan Lama,enak wangi bau kue aroma vanilla sedikit belum nyoba yang black vanilla seger kalo yang maniss kalo didiemin lama2 jadi soft wangi
Annishaa,"Bagus barang sesuai pesanan, cantik aku suka 
Pengiriman cepat respon toko juga cepat.
Tokonya amanah terimakasih ya😘",Body White AHA Body Booster White Serum,bagus barang sesuai pesan cantik aku suka kirim cepat respon toko cepat toko amanah terimakasih
Muhammad,bagus  cepat memutihkan dan tidak lengket,KOJIE SAN Body Lotion Series Hand Body Pemutih Kojiesan,bagus cepat mutih tidak lengket
Diffa,"lucu bangett gemes, aku dapet free produk sheet mask juga makasih yaaa",Pipiqiu 7% Panthenol + 7% Cica Mugwort Skin Barrier Soothing Moisture Gel Pelembab Wajah Moisturizer,lucu bangett gemes aku dapet free produk sheet mask makasih yaaa
mitha,tekstur ringan wanginya enak,Mooi Pure Glow Tone Up Booster Serum Glowing Wajah Lotion Pencerah Kulit Hand Body Body Lotion,tekstur ringan wangi enak
R***d,Semoga cocok. Respon admin positif,AMATERASUN UV Sunscreen Serum SPF 50+ PA++ Sunblock Wajah,moga cocok respon admin positif
R***d,Packingan mantabb. kiriman sesuai,Braven Black Series - 100ml Eau De Parfume Men,packingan mantabb kirim sesuai
R***d,pesan yg coklat dapat yang abu2,Kahf Gentle Exfoliating Face Scrub Sabun Wajah Noda Hitam Pria,pesan yang coklat yang abu2
O***a,"packing rapi, makasih",Autumn 5% NIA – HYA Whitening Toner Badan & Wajah Brightening Toner Face Toner,packing rapi makasih
G***g,"Barang Original
Wangi Dan Tahan Lama Cocok Dipakai Siang Hari",Braven Men Sport Deodorant Roll On - 50ml Anti Perspirant Quick Dry,barang original wangi tahan lama cocok pakai siang hari
zzavii,"sumpa bagus BANGETTT, aku co tanggal 27 sampe tanggal 28. IH LOVV LOVV BGTTT. dapat harga 14k lagii MAKASII SELLER DAN TOKOPEDIA😻😻😻😻😻😻",Glad2Glow Centella Blueberry 5% Ceramide Pomegranate 5% Niacinamide Yuja Symwhite 377 Moisturizer Pelembab Gel,sumpa bagus bangettt aku co tanggal 27 sampe tanggal 28 ih lovv lovv bgttt harga 14k lagi makasii seller tokopedia
T***a,"bagus banget, bau nya tidak menyengat, pas di pakai rasanya seger banget,dan bisa melembabkan kulit, btw type kulit wajah ku berminyak ya ,dan cocok banget pakek ini",Autumn 5% NIA – HYA Whitening Toner Badan & Wajah Brightening Toner Face Toner,bagus banget bau nya sengat pas pakai rasa seger bangetdan melembabkan kulit btw type kulit wajah ku minyak dan cocok banget pakek
pagimin,cepet banget. tanks. toko dn kurir,Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume,cepet banget tanks toko dn kurir
Irman,Lawack cik😹,KELAYA Hair Treatment Shampoo Extract Aloe Vera & Minyak Kemiri,lawack cik
Asih,"sepertinya barang yg terima palsu, isinya air putih, bukan seperti aslinya.
sy kecewa 
ada lakban yg menutupi",Reglow Sunscreen Luxury Glow Up Protection SPF 50 PA+++ Sunblock Spray,seperti barang yang terima palsu isi air putih bukan asli sy kecewa ada lakban yang tutup
iwi,"paket udh d terima,kurir nya baik, barang nya ok,next time order lg 🙏😊",The Face Cream Temulawak Krim Wajah Siang & Malam Whitening Cream,paket udh d terimakurir nya baik barang nya oknext time order lg
Vica,"Alhamdulillah pesanan sampe packing Aman. 
dpt harga murah... 
kurir Ramah, tp gag anterin depan rumah.",Glad2Glow Serum Series Centella Acne Serum Yuja Jeju Vit C Retinol Peeling Serum Wajah,alhamdulillah pesan sampe packing aman dpt harga murah kurir ramah tp gag anterin depan rumah
N***n,perih dipakai,Reglow Sunscreen Luxury Glow Up Protection SPF 50 PA+++ Sunblock Spray,perih pakai
Galang,kaget pake banget beli sabun muka dapet bonus kaya gini..,BROMEN Brightening Soap Facial Wash Sabun Cuci Muka Pria Pencerah,kaget pake banget beli sabun muka dapet bonus kaya gin
Farend,mantap,The Originote Ceratides Serum 20ml - Serum Memperbaiki Skin Barrier,mantap
N***i,kulit aku normal cocok pake cream whitening night soalnya mudah juga diaplikasikan enak bikin muka cerah,Night Cream MS Glow | Cream Malam Krim Malam MS Glow Series,kulit aku normal cocok pake cream whitening night soal mudah aplikasi enak bikin muka cerah
G***a,paket sdh smp.dgn amn n pack rapi..smg sllu jd lngganan..tq toped n kurirnya,Reglow Sunscreen Luxury Glow Up Protection SPF 50 PA+++ Sunblock Spray,paket sdh smpdgn amn n pack rapismg sllu jd lngganantq toped n kurir
Lucy,"Fast response, harga bersahabat, recomend seller, tq ya seller

Cocok di kulit saya, ada perubahan jd cerah, flek memudar",SKINTIFIC 10% Vitamin C Brightening Glow Serum Glowing Facial Serum,fast response harga sahabat recomend seller tq seller cocok kulit ada ubah jd cerah flek pudar
Luqman,Awalnya pengen bira sama bajo tapi abis dan seller menawarkan gili dan toba... ternyata cakeeep... 😄😆,BLP Airy Tint Lip Tint & Stain Lip Color Matte Tahan Lama,awal ken bira sama bajo abis seller tawar gili toba nyata cakeeep
Landung,wangi fresh,Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume,wangi fresh
ADANI,"pengiriman cepat, sudah dilapisi bubble wrap tapi masih penyok boxnya untung ga rusak botolnya mungkin dari pihak pengirimnya",ELVICTO Extrait De Parfum Series For Men EDP Perfume Tahan Lama Cologne Pria,kirim cepat lapis bubble wrap masih penyok boxnya untung ga rusak botol mungkin pihak kirim
Ina,Mantap deh pokoknya real pict 😍😍,BIOAQUA Niacinamide/Hyaluronic/Acne/Hexapeptide Antiaging Serum - 30ml,mantap deh pokok real pict
A***a,Semoga awet,ELVICTO Extrait De Parfum Series For Men EDP Perfume Tahan Lama Cologne Pria,moga awet
Howdy,"sesuai orderan,  cmn telat kirimnya pdhl pake kurir next day krn urgent, penjualnya ga ada info kl barangnya lg abis, kl ga ditanya ga ada infonya...",Evangeline Premium EDP 100ml Parfum Wanita Perfume Tahan Lama,sesuai order cmn telat kirim pdhl pake kurir next day krn urgent jual ga info kl barang lg abis kl ga tanya ga info
Howdy,"sesuai orderan,  cmn telat kirimnya pdhl pake kurir next day krn urgent, penjualnya ga ada info kl barangnya lg abis, kl ga ditanya ga ada infonya...",Scarlett Whitening Eau De Parfum EDP Perfume Tahan Lama Parfume,sesuai order cmn telat kirim pdhl pake kurir next day krn urgent jual ga info kl barang lg abis kl ga tanya ga info
Howdy,"sesuai orderan,  cmn telat kirimnya pdhl pake kurir next day krn urgent, penjualnya ga ada info kl barangnya lg abis, kl ga ditanya ga ada infonya...",Grace And Glow 2in1 Hair Care & Perfume / Parfum Vitamin Rambut Spray,sesuai order cmn telat kirim pdhl pake kurir next day krn urgent jual ga info kl barang lg abis kl ga tanya ga info
Howdy,"sesuai orderan,  cmn telat kirimnya pdhl pake kurir next day krn urgent, penjualnya ga ada info kl barangnya lg abis, kl ga ditanya ga ada infonya...",Talkme Gold Series Parfum Romawi British Oud Parfume Talk Me - 30ml,sesuai order cmn telat kirim pdhl pake kurir next day krn urgent jual ga info kl barang lg abis kl ga tanya ga info
Howdy,"sesuai orderan,  cmn telat kirimnya pdhl pake kurir next day krn urgent, penjualnya ga ada info kl barangnya lg abis, kl ga ditanya ga ada infonya...",MINISO Zodiac Perfume Series Parfum Mini Zodiak EDT Tahan Lama Parfume Travel Eau de Toilette,sesuai order cmn telat kirim pdhl pake kurir next day krn urgent jual ga info kl barang lg abis kl ga tanya ga info
Howdy,"sesuai orderan,  cmn telat kirimnya pdhl pake kurir next day krn urgent, penjualnya ga ada info kl barangnya lg abis, kl ga ditanya ga ada infonya...",Parfum Evangeline Selection 100ml Parfum Wanita Tahan Lama,sesuai order cmn telat kirim pdhl pake kurir next day krn urgent jual ga info kl barang lg abis kl ga tanya ga info
Ahmad,"enak sih pas di pake bagus juga ,cuma pas nyampe barang nya tutup ny ga rapet jadi bocor banyak rembesan di bubble wrap ny , pengiriman ny tolong dong ,itu ada penyok jug... ",Autumn 5% NIA – HYA Whitening Toner Badan & Wajah Brightening Toner Face Toner,enak sih pas pake bagus cuma pas nyampe barang nya tutup ny ga rapet jadi bocor banyak rembes bubble wrap ny kirim ny dong ada penyok jug
rahma,"agak lamat,.. tapi sampai dengan selamat 
baru pertama x pakek si 
semoga cocok 👍👍👍",Scarlett Cream Acne / Brightly Day Night Cream Scarlett Whitening,lamat sampai selamat baru pertama x pakek si moga cocok
Jamal,"packing top markotop, pengiriman tepat waktu...baunya segar mantep pokoknya...semoga awet untuk wanginya...recommended untuk tokonya",Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume,packing top markotop kirim tepat waktubaunya segar mantep pokoknyasemoga awet wanginyarecommended toko
Bayu,bahannya ringan tekstur lembur kental tp mudah menyerap dan melembapkan dan mencerahkan juga,The Originote Brightening Moisturizer Pelembab Wajah With Niacinamide,bahan ringan tekstur lembur kental tp mudah serap lembap cerah
Bayu,"Bahannya ringan tekstur kental tp mudah menyerap ke kulit, dan lumayan bikin cerah",The Originote Brightening Moisturizer Pelembab Wajah With Niacinamide,bahan ringan tekstur kental tp mudah serap kulit lumayan bikin cerah
Ridwan,sesuai pesanan...thx,Braven Code For Men Eau De Parfum Parfume Tahan Lama Fragrance,sesuai pesananthx
diana,bocor,Mustika Ratu Hair Care - Minyak Zaitun Hair Oil Cem-Ceman Hair Tonic,bocor
Risky,Sipp,Ms Glow Men Energizer Facial Wash / Face Wash MsGlow Men,sipp
