username,review,clean_review
chriz mary,"Saya edit bintangnya!! Tolong yah diperbaiki dulu, masa foto bujti pengiriman ga jelas item semua diterima aja, padahal barang belum sampai!! Saya belanja banyak banget ga inget harus cek satu2 tau2 udah selesai aja belom sempet klik komplain, pas cek bukti pengiriman ga jelas apa2an, saya chat tokped care nya malah template answer bukannya di tanya yg jelas ke kurirnya.. Padahal dulu pernah kejadian kaya gini tapi kurirnya bener dilacak, sampe barang ketemu. Sekarang kok malah klbikin kecewa!",edit bintang yah baik dulu masa foto bujti kirim ga jelas item semua terima aja padahal barang sampai belanja banyak banget ga inget cek satu2 tau2 udah selesai aja bom sempet klik komplain pas cek bukti kirim ga jelas apa2an chat tokped care nya malah template answer bukan tanya yang jelas kurir padahal dulu pernah jadi kaya gin kurir bener lacak sampe barang ketemu sekarang kok malah klbikin kecewa
Kroco Mumet,"Sejak update, sekarang tidak lagi terlihat kapan terakhir penjual online, jadi beberapa kali pickup dengan seller yang super slow respon, bahkan sampai batal otomatis. Tolong kembalikan fitur kapan penjual terakhir online, agar pembeli bisa melihat dan memilih penjual yang responsif (online setiap saat), karena banyak penjual yg sudah tidak aktif berjualan, tapi masih onlineshoop nya masih aktif.",sejak update sekarang lagi lihat kapan akhir jual online jadi beberapa kali pickup seller super slow respon bahkan batal otomatis kembali fitur kapan jual akhir online beli lihat pilih jual responsif online saat banyak jual yang tidak aktif jual onlineshoop nya masih aktif
Yulia Dewi,"Tokopedia media belanja online yang super paling lama pengirimannya. Susah kalo mau cancel belanjaan. Suka ga suka harus terima. Yg parahnya lagi kurirnya wa setengah 12 malam udh dijln mau kirim barang. Tanpa konfirmasi dlu di sore hari nya. Emang kurir Jne dari toped 24 jam ya kerjanya? Kita customer, itu jam istirahat kita. Yg bner aja. Mengecewakan sekali. Kapok belanja disini!",tokopedia media belanja online super paling lama kirim susah kalo mau cancel belanja suka ga suka terima yang parah kurir wa tengah 12 malam udh dijln mau kirim barang konfirmasi dlu sore hari nya emang kurir jne toped 24 jam kerja customer jam istirahat yang bner aja kecewa sekali kapok belanja sini
Miftahul Ilmi,"Banyak diskon dan promo, entah krn pengguna baru atau enggak gtw gue. Ongkirnya ga mahal mahal sama biaya penanganan murah gak menggemuk kayak diaplikasi orange. UI bagus dan mudah difahami. 2 minggu menggunakan aplikasi ini sudah nyaman",banyak diskon promo entah krn guna baru enggak gtw gue ongkirnya ga mahal mahal sama biaya tangan murah gak gemuk kayak aplikasi orange ui bagus mudah difahami 2 minggu guna aplikasi sudah nyaman
Embun Pagi,Baru pertama transaksi setelah pembayaran via transfer bank berhasil malah dibatalkan sistem dan saldo masuk ke 'saldo refound' Kenapa juga setelah login pakai nomor malah ada email lain diakun tokopedia saya? Benar-benar aplikasi yang sangat mengecewakan,baru pertama transaksi bayar via transfer bank hasil malah batal sistem saldo masuk saldo refound juga login pakai nomor malah email akun tokopedia benarbenar aplikasi sangat kecewa
adit gmr,"ini gimana tokped judul barang harga murah saat di pilih kardusnya doang, jadi gak sesuai expextasi mana barang harga judul itu harus pas sesuai tampilan awal muka, jangan di alihkan ke variasi jadi ragu belanja sulit milih2 nya ribet. kecuali variasi itu sesuai kebutuhan",gimana tokped judul barang harga murah pilih kardus doang jadi gak sesuai expextasi mana barang harga judul harus pas sesuai tampil awal muka jangan di alih variasi jadi ragu belanja sulit milih2 nya ribet variasi sesuai butuh
Anton,"Halo kak. Di appsnya ada notifikasi unread chat, tapi tidak ada chat yang unread. Bagaimana cara perbaikinya? Edit: Dikasih link untuk kritik/saran tapi gak bisa diakses linknya [tkp.me/supportMainapps]. Bener2 ini kacau supportnya. Turunin lagi bintangnya.",halo kak appsnya notifikasi unread chat tidak chat unread bagaimana cara baik edit kasih link kritiksaran gak akses linknya tkpmesupportmainapps bener2 kacau supportnya turunin bintang
A. Septa,"Kenapa Tokopedia makin buruk, sangat amat buruk: 1. Mau lihat harga, harganya malah diganti pakai harga diskon yg berubah-ubah terus. Jadi ngga jelas harga sebenarnya berapa. Diskon receh doang aja kok ganggu banget. 2. Menu sort lagi kacau, minta urut dari yg murah ke mahal, tetap saja harganya tidak urut. 3. Nama Kurir kenapa di sembunyikan?? Asal tau saja ya, ngga semua kurir Tokopedia itu bagus. Ada yg salah kirim terus. Kalu gini caranya saya mau berhenti belanja di Tokopedia.",tokopedia makin buruk sangat buruk 1 mau lihat harga harga malah ganti pakai harga diskon yang berubahubah terus jadi ngga jelas harga benar berapa diskon receh doang aja kok ganggu banget 2 menu sort kacau minta urut yang murah mahal tetap harga urut 3 nama kurir sembunyi asal tau ya ngga semua kurir tokopedia bagus yang salah kirim terus kalu gin cara mau henti belanja di tokopedia
endrik ahmad,"Diskonnya berubah lagi langganan Plus atau tidak, seperti tidak ada bedanya. Untuk dapat bebas ongkir yg seharusnya minimal belanja 0 rupiah, sekarang minimal belanja harus 20ribu baru dapat gratis ongkir. Padahal yg saya harapkan dari Langganan Plus adalah bebas ongkir dengan minimal belanja 0 rupiah.",diskon ubah langgan plus tidak tidak beda bebas ongkir yang minimal belanja 0 rupiah sekarang minimal belanja 20ribu baru dapat gratis ongkir padahal yang harap langgan plus bebas ongkir minimal belanja 0 rupiah
Wahyu Joni Kurniawan,"kembalikan pengiriman YES JNE atau pilihan jasa lainnya.. dan berhenti gunakan jasa sicepat sebagai rekomendasi, barang selalu sampai sangat lama dan super lelet.. dengan berbagai alasan keterlambatan di sistem... memuakkan..",kembali kirim yes jne pilih jasa lain henti guna jasa sicepat rekomendasi barang selalu sangat lama super lelet bagai alas lambat sistem muak
Mamah Fahmi,"puas banget belanja di sini selain banyak promo juga pengirimannya cepat langsung diproses..tapi kemarin ada kendala pas mau belanja lagi itu dibatalkan secara otomatis,, lumayan agak kecewa dari situ,.mohon diperbaiki lagi ya sistemnya",puas banget belanja sini banyak promo kirim cepat langsung diprosestapi kemarin kendala pas mau belanja itu batal otomatis lumayan kecewa situmohon baik ya sistem
Mama RALI,"Penjual menjual barang palsu dengan harga ori, barangnya sudah saya kembalikan. Waktu barangnya kembali sudah ada bukti foto dari kurir bahwa barangnya sampe, penjual mengaku belum terima barangnya, tapi oleh tokopedia, uang saya diteruskan ke penjual. 2025 tokopedia semakin aneh, mendukung toko penipu.",jual jual barang palsu harga ori barang kembali waktu barang sudah bukti foto kurir barang sampe jual aku terima barang oleh tokopedia uang saya terus jual 2025 tokopedia makin aneh dukung toko tipu
Hanif Azim,"Tokopedia, untuk promo aplikasinya udah tidak seperti dulu yang setiap akun di jamin dapet voucher 70%dari 100ribu, sangat mengecewakan saya kasih rating bintang 2 untuk aplikasinya cuih, balikin lg voucher event puncak untuk perorangannya, untuk yang sekarang event puncak nya seperti cuih sekali, gakguna mana system bakar bakar duitnya kok jd lembek gak seperti dulu yang jor joran.",tokopedia promo aplikasi udah dulu tiap akun jamin dapet voucher 70dari 100ribu sangat kecewa kasih rating bintang 2 aplikasi cuih balikin lg voucher event puncak orang sekarang event puncak nya cuih sekali gakguna mana system bakar bakar duit kok jadi lembek gak seperti dulu yang jor joran
Zacky Ranger,"Makin buruk aja sekarang tokped, sistem pembatalannya dah engga bisa kasih ulasan ke penjual yang banyak slow responnya.. dan saldo di Tokopedia juga engga bisa digunakan kalau kita belanja lebih dari nominal, padahal dulu bisa, ditambahkan dengan metode pembayaran lain, sekarang sudah tidak bisa lagi ✍️.. buruk dan buruk pokoknya, banyak di otak Atik malah jadi menghancurkan ke percayaan pelanggan",makin buruk aja sekarang tokped sistem batal dah engga kasih ulas jual banyak slow responnya saldo tokopedia engga guna kalau belanja lebih nominal padahal dulu tambah metode bayar sekarang tidak lagi buruk buruk pokok banyak otak atik malah jadi hancur percaya langgan
Khansa Khairunnisa,"Admin slow respon, komplain pertama dilayani AI, nanti kalo udah lama baru CSF yg turun tangan, tp ya gitu slow respon dan kalimatnya juga template, beli barang sering dibatalkan otomatis, katanya ada akun yg menyerupai, pdhl gak pernah bikin double akun",admin slow respon komplain pertama layan ai kalo udah lama baru csf yang turun tangan tp gitu slow respon kalimat template beli barang sering batal otomatis kata akun yang rupa pdhl gak pernah bikin double akun
ARIS Y,"Tolong ya ,. Kembalikan tampilan voucher tokopedia yang lama. Yang sekarang bingung liatnya soalnya ga ada angka urutan dan jumlah voucher nya. Juga review total pembayaran kenapa sekarang hilang, jadi ga tau dapat Kurir apa",ya kembali tampil voucher tokopedia lama sekarang bingung liat soal ga angka urut jumlah voucher nya review total bayar sekarang hilang jadi ga tau kurir apa
Andry Syarifudin,"pesanan dari tgl 7 sampai skrg tgl 10 belum terupdate di statusnya masih proses dan no resi nya juga tidak ada, sehingga tidak bisa melacak paket yang saya pesan jangan belanja di TOKOPEDIA, respon lama, susah buat track paketnya",pesan tgl 7 skrg tgl 10 terupdate status proses no resi nya sehingga tidak bisa lacak paket saya pesan jangan belanja tokopedia respon lama susah buat track paket
yipi,"overall apknya bagus, tapi knp harus ada ""download fitur""?? susah bgt ga jalan² proses unduhnya padahal sinyal aman-aman aja, aku mau kasih ulasan dgn foto/video jdi ga bisa karena masalah tsb, itulah alesan aku males ngasih ulasan produk di tokped. ngerugiin seller juga sih klo gini, mereka kan berharap dikasih ulasan sama buyer.",overall apknya bagus knp ada download fitur susah banget ga jalan proses unduh padahal sinyal amanaman aja aku mau kasih ulas dgn fotovideo jdi ga karena masalah tsb alesan aku males ngasih ulas produk tokped ngerugiin seller sih klo gin kan harap kasih ulas sama buyer
Hidayat Saputra,"Maaf saya edit rating nya.. untuk Expedisi JNE nya di perbaiki lagi.. Keterlambatan pengiriman dari tanggal 5 sampe sekarang ,keterangan nya alamat tidak lengkap.. Padahal tercantum sampai rt/rw sama kelurahan nya juga.. ada no hp yg tercantum juga..",maaf edit rating nya expedisi jne nya baik lambat kirim tanggal 5 sampe sekarang terang nya alamat lengkap padahal cantum rtrw sama lurah nya ada no hp yang cantum
William Dhamma (WiLaxus),"Ini kolom diskusi produknya kemana ya? Skrg hilang setelah update 😩. Begitu update saat ada event, layout-nya kerap berganti yg membuat penggunaan aplikasinya jadi ribet dan nyusahin. Please, kalau ada event2, layout gak perlu diubah-ubah, malah jadi mengganggu karena harus menyesuaikan lagi 😑. App memang ok, cuma terkadang setelah update malah nyusahin. Dan 1 lagi, saya gak nemu cara pakai gopay coins untuk transaksi! Kebanyakan ubahan minor yg malah bikin sistemnya jadi ribet cara pakainya😩",kolom diskusi produk ya skrg hilang update update event layoutnya kerap ganti yang buat guna aplikasi jadi ribet nyusahin please kalau ada event2 layout gak perlu diubahubah malah jadi ganggu harus sesuai app memang cuma terkadang update malah nyusahin 1 saya gak nemu cara pakai gopay coins transaksi banyak ubah minor yang malah bikin sistem jadi ribet cara pakai
LGA,"Gratis ongkirnya jadi ga bisa dipake, di produk ada label gratis ongkir pas order tetep bayar ongkir, padahal harga barang/nilai transaksinya memenuhi syarat, malah disuruh langganan plus, kalo toped ky gini terus lama2 nasibnya ngikutin lapak merah nanti karena harga jatuhnya jadi mahal, soalnya disana awal2 nya seperti ini juga, akhirnya sekarang tumbang BYE2 TOPED......!!!!! SAATNYA MIGRASI KE TOKOPINK DAN TOKOORANGE",gratis ongkirnya jadi ga dipake produk label gratis ongkir pas order tetep bayar ongkir padahal harga barangnilai transaksi penuh syarat malah suruh langgan plus kalo toped ky gin terus lama2 nasib ngikutin lapak merah karena harga jatuh jadi mahal soal sana awal2 nya ini akhir sekarang tumbang bye2 toped saat migrasi tokopink tokoorange
262_Adhelia Nofieanti Pratiwi,"Mungkin bintang 3 dulu. Selama aku pakai aplikasi tokopedia ini nyaman² aja, banyak voucher dan juga bisa dapat barang dg harga murah. Cuman nggak enaknya belanja di tokped ini, sering dibatalkan oleh sistem. Padahal barang yg dibatalkan itu barang yg aku mau, sempat aku tanya disuruh nunggu, pas udah nunggu tau² dibatalkan gitu aja.",mungkin bintang 3 dulu lama aku pakai aplikasi tokopedia nyaman aja banyak voucher juga dapat barang dg harga murah cuman enak belanja tokped sering batal sistem padahal barang yang batal barang yang aku mau sempat aku tanya suruh nunggu pas udah nunggu tau batal gitu aja
Nonik Wijaya,"Baru pakai aplikasi dapat potongan harga, pesanan dibatalkan toped. Seperti itulah kesan pelanggan baru seperti saya, tidak memuaskan, tidak perlu iming2 dapat diskon kalo ujungnya mengecewakan. Nih bintang satu saja cocoknya, kecewa sekali sih",baru pakai aplikasi potong harga pesan batal toped itu kesan langgan baru saya muas perlu iming2 diskon kalo ujung kecewa nih bintang satu cocok kecewa sekali sih
Askur Ture,"Kenapa saya kasih bintang satu,karena tokopedia Lambat dalam urusan pengirirman... Semua kurir dari tokopedia tdk ada yg bisa diharapkan.... Parahnya lagi kalau barang sudah mau di antar ke alamat,,selalu gak pernah kasih kabar dr kurir nya..gak ada nlp atau pemberitahuan sebelumnya",saya kasih bintang satukarena tokopedia lambat urus pengirirman semua kurir tokopedia tidak yang harap parah kalau barang mau antar alamatselalu gak pernah kasih kabar dr kurir nyagak nlp pemberitahuan belum
Maman Fajar,"Tokopedia sekarang tidak sebagus yang dulu, mudah digunakan simpel, sekarang ribet banyak fitur yang dihapus, penjual kirimkan pesanan suka², malah kadang tidak respon terhadap pembeli, aplikasi selalu ada masalah di rumah toped atau jaringan anda bermasalah, kalau begini terus pindah ke toko sebelah saja, toko online pertama saya saja",tokopedia sekarang bagus dulu mudah guna simpel sekarang ribet banyak fitur hapus jual kirim pesan suka malah kadang respon beli aplikasi selalu masalah rumah toped jaring masalah kalau begini terus pindah toko belah toko online pertama saja
likha izkha,"Dulu sy kasih Bintang 2 karena pengiriman lama,dan tdk ada perubahan,Sekarang sy sangat KECEWA sm proses Pengajuan KOMPLAIN brg disini,Kapok sy gak lagi2 beli disini takut salah barang dan susah balikinnya,Ajukan komplain krn produk tidak terdaftar,Terima brg tgl 28,Cs : ajukan menunggu respon penjual max tgl 3.Pj: tolak ,di respon tgl 1 Dan sy disuruh ajukan banding. C: Banding (akhirnya ditambah lagi max tgl5) Akhirnya si seller menolak bandig sy di tgl 4 Dan ditambah lagi 2 hri kedepan Astaga",dulu sy kasih bintang 2 kirim lamadan tidak perubahansekarang sy sangat kecewa sm proses aju komplain brg disinikapok sy gak lagi2 beli sini takut salah barang susah balikinnyaajukan komplain krn produk terdaftarterima brg tgl 28cs aju tunggu respon jual max tgl 3pj tolak respon tgl 1 sy suruh aju banding c banding akhir tambah max tgl5 akhir si seller tolak bandig sy tgl 4 tambah 2 hri depan astaga
delik aduan,"Applikasi tokopedia sangat berat sekali jadi gak nyaman belanjanya, tiap diklik produknya hanya keluar gambar tanpa bisa digulir deskripsinya. Padahal dahulu sangat ringan daripada shopee sekarang lebih berat daripada shopee",applikasi tokopedia sangat berat sekali jadi gak nyaman belanja tiap klik produk keluar gambar bisa gulir deskripsi padahal sangat ringan shopee sekarang lebih berat shopee
Alendra Nova Pramana (Alendra),"Tolong dikasih fitur ganti ekspedisi, saya muak dengan ekspedisi JNE yang gada kerjanya itu, lambat, gada keterangan, suka nyangkut di bulkhub entah beneran nyangkut atau cuma nimbun barang dulu, seminggu lebih ngga ada pergerakan, paling engga minimal bisa konfirmasi kan ada nomer teleponnya, tolong Tokopedia disediakan fitur untuk bisa memilih ekspedisi apa yang diinginkan, jangan cuma kargo, standar, ekonomi, reguler doang tapi disediakan fitur memilih ganti ekspedisi yang diinginkan",kasih fitur ganti ekspedisi muak ekspedisi jne gada kerja lambat gada terang suka nyangkut bulkhub entah beneran nyangkut cuma nimbun barang dulu minggu lebih ngga gera paling engga minimal konfirmasi kan nomer telepon tokopedia sedia fitur bisa pilih ekspedisi apa ingin jangan cuma kargo standar ekonomi reguler doang sedia fitur pilih ganti ekspedisi ingin
Hasna Rianti,"Saya baru banget nyoba pake Tokopedia akhir tahun kmrn. 2 kali saya pesen barang ga pernah sampe... 1 bulan lebih barang saya tunggu ga nyampe ke rumah satupun, saya coba cek berulang dan di cancel sepihak entah dari pihak Tokopedia, penjual atau pihak ekspedisi. Saya ajuin complain dan menurut saya itu ga bantu sama sekali, refund danapun sulit. Saya rasa ga wort it pake Tokopedia kalo belum ada perbaikan dari sistem maupun ekspedisi. Terimakasih.",baru banget nyoba pake tokopedia akhir tahun kmrn 2 kali sen barang ga pernah sampe 1 bulan lebih barang tunggu ga nyampe rumah satu coba cek ulang di cancel pihak entah pihak tokopedia jual pihak ekspedisi ajuin complain turut itu ga bantu sama sekali refund dana sulit rasa ga wort it pake tokopedia kalo ada baik sistem maupun ekspedisi terimakasih
Abang Handsome,"Udah sering belanja di tokped, pas ada kebutuhan belanja besar dapet diskon besar, tapi langsung di batalkan oleh sistem, alasannya tidak sesuai syarat dan ketentuan. Penasaran nyoba transaksi lagi.. 10X nyoba 10X di cancel sistem. Kalo ga kuat ngasih diskon atau potongan harga, ga usah di pasang tu kupon ga guna... Chat tokopedia care, cuma ngobrol sama mesin... Cuma muter"" aja kaya bebek di kunci stang.",udah sering belanja tokped pas butuh belanja besar dapet diskon besar langsung batal sistem alas sesuai syarat tentu penasaran nyoba transaksi 10x nyoba 10x cancel sistem kalo ga kuat ngasih diskon potong harga ga usah pasang tu kupon ga chat tokopedia care cuma ngobrol sama mesin cuma muter aja kaya bebek kunci stang
Gumilar,"Apaan sih, dikit dikit update, tiap tgl kembar minta diupdate tp ga ada perubahan yg signifikan, kalo ga diupdate ga bisa dipake aplikasinya. Cuman menuh menuhin memori doang, auto uninstall lah, udh bener pake si oren sama si biru aja ga banyak update ga jelasnya",apa sih dikit dikit update tiap tgl kembar minta diupdate tp ga ubah yang signifikan kalo ga diupdate ga dipake aplikasi cuman menuh menuhin memori doang auto uninstall lah udh bener pake si oren sama si biru aja ga banyak update ga jelas
Prasetyo Budi,"Untuk Tokopedia mohon untuk mengroscek lagi apa yg salah pada sistem pengiriman, yang selalu terlambat lama.. dan banyak seller yang menguntungkan batas waktu pengiriman maximal. Shg pengiriman lama ..barang y harusnya sampai 3 hari ini bener2 bisa sampai 6 hari bahkan lebih untuk sampai di lokasi ..itu pun kita masih di persulit oleh kurir2 nakal yg selalu menunda barang hanya di timbun di tempatnya ...",tokopedia mohon mengroscek apa yang salah sistem kirim selalu lambat lama banyak seller untung batas waktu kirim maximal shg kirim lama barang y harus 3 hari bener2 sampai 6 hari bahkan lebih sampai lokasi pun masih sulit kurir2 nakal yang selalu tunda barang timbun di tempat
Ly Dia,"Jelek banget pusat bantuannya, sama sekali tindak membantu. kurir rekomendasiinya jelek buangat, ID express belum juga kirim padahal sudah di kota yg sama selama 2 hari, setelah dicek ternyata ada banyak kendala yang sama. ""kurir rekomendasi"" katanya, pemilihannya buruk, dan pihak tokopedia pun gak membantu, tidak cermat juga memilih rekanan ekspedisi. kalau saya punya waktu, saya gak bakal belanja online, jadi tidak membantu kalau seperti ini.",jelek banget pusat bantu sama sekali tindak bantu kurir rekomendasi jelek buangat id express kirim padahal di kota yang sama lama 2 hari cek nyata banyak kendala sama kurir rekomendasi kata pilih buruk pihak tokopedia gak bantu cermat juga pilih rekan ekspedisi kalau punya waktu gak bakal belanja online jadi bantu kalau ini
M Yoesoef,"Pengirimannya lemot parah dan ongkirnya mahal walaupun ada tulisan bebas ongkir(bebas ongkirnya tidak berguna) Beda jauh dengan toko sebelah(oren). Ini masih nunggu paket saya, satu kota aja 3 hari belum sampai. Mungkin ini yang terahir belanja di tokopedia. MENGECEWAKAN SEKALI",kirim lot parah ongkirnya mahal walaupun tulis bebas ongkirbebas ongkirnya guna beda jauh toko sebelahoren masih nunggu paket satu kota aja 3 hari sampai mungkin yang terahir belanja tokopedia kecewa sekali
Ahmad raja Riyaldy ramadhan,"pengalaman buruk yang pernah kurasakan, saya merasa dirugikan betul, betul, saya suka sama menu and visual yang ditawarkan sama tokped, mulai dari cara berbelanja, diskon menarik, yang bikin pengguna betah sama apk satu ini,jadi nyaman untuk belanja, tapi untuk pelayanan tokoepdia care nya anjlok parah, TIDAK ADA SOLUSI, BARANG YANG SAYA JUAL DITERIMA PEMBELI, LALU DIRETUR, SETELAH DIRETUR KE PENJUAL BARANG SAYA RUSAK DAN DANA AKAN DITERUSKAN PENJUAL SAYA AJUKAN KOMPLAIN SELALU TIDAK DITERIMA!!!",alam buruk pernah rasa rasa rugi betul betul suka sama menu and visual tawar sama tokped mulai cara belanja diskon tarik bikin guna betah sama apk satu inijadi nyaman belanja untuk layan tokoepdia care nya anjlok parah ada solusi barang jual terima beli lalu retur retur jual barang rusak dana terus jual saya aju komplain selalu terima
Wahyu Radith,"Tokopedia sekarang lemot, trus klo masuk ke satu toko klik salah 1 produk saat kembali ke halaman atau display toko otomatis kembali ke posisi display produk paling atas, mau gak mau kita musti scrool ke bawah lagi.. Jauh lagi nyari² Jadi ribet gak praktis",tokopedia sekarang lot trus klo masuk satu toko klik salah 1 produk halaman display toko otomatis kembali posisi display produk paling atas mau gak mau musti scrool ke bawah jauh nyari jadi ribet gak praktis
Henny Sumirat,"Dulu merasa nyaman belanja disini..makin kesini kok ya banyak seller nakal,jual diharga lbh murah ,rating toko bagus, tapi barang cm pajangan,pesanan sengaja diproses,tp didiamkan sampe batal otomatis,dichat ga dibales,ajukan pembatalan ga kunjung di approved,maksudnya apaa..apa bisa jd naikin rating toko? Lebih aman belanja ditoko orange kl begini,sy sdh kena bbrp seller kek gini,toko febee sama uapgrocery!!! Harusnya ada pengaduan...tokopedia care tp pertanyaan nya by sistem..yg jwb jg mesin",dulu rasa nyaman belanja disinimakin kesini kok banyak seller nakaljual harga lbh murah rating toko bagus barang cm pajanganpesanan sengaja diprosestp diam sampe batal otomatisdichat ga dibalesajukan batal ga kunjung approvedmaksudnya apaaapa jadi naikin rating toko lebih aman belanja toko orange kl beginisy sdh kena bbrp seller kek ginitoko febee sama uapgrocery harus pengaduantokopedia care tp tanya nya by sistemyg jwb jg mesin
Budi Nugraha,Tidak mungkin ada pengguna dgn mens rea untuk gagal bayar jika dia selalu mencari promo potongan harga diskon saat menggunakan layanan gopaylater untuk jenis transaksi apapun dari belanja hingga tagihan. Perusahaan yg tidak bisa menghargai pengguna yg selalu berusaha melunasi lebih awal setiap tagihan hampir satu bulan sebelum awal jatuh tempo. Jawaban & respon cs yg mayoritas selalu template & tidak solutif tanpa tindak lanjut yg signifikan atas keluhan & masalah yg sudah berkali kali dikirim.,mungkin guna dgn mens rea gagal bayar dia selalu cari promo potong harga diskon guna layan gopaylater jenis transaksi apa belanja hingga tagih usaha yang bisa harga guna yang selalu usaha lunas lebih awal tagih hampir satu bulan awal jatuh tempo jawab respon cs yang mayoritas selalu template solutif tindak lanjut yang signifikan atas keluh masalah yang kali kali kirim
Adhitya Ivan Fadillah,"Tokopedianya over all gak ada masalah berarti, hanya yang disayangkan itu ekspedisinya yang super super super lamban. Plis ganti ekspedisi atau setidaknya sediakan pilihan ekspedisi lain, mending tanpa free ongkir dibanding free ongkir tapi paket dikirim seenaknya, lelet. Please",tokopedianya over all gak masalah arti sayang ekspedisi yang super super super lamban plis ganti ekspedisi tidak sedia pilih ekspedisi mending free ongkir banding free ongkir paket kirim enak lelet please
Diky Mukti,"Kok malah ada penurunan kwalitas ya, kan seharusnya semakin kesini semakin bagus kwalitasnya. Tokopedia, dari dulu saya gunakan, tapi sekarang kok jadi kecewa ya, apalagi semenjak ada kurir rekomendasi. (Ulasan 2022) Ternyata fiturnya semakin aneh, yang dicantumkan malah diskon, bukan harga. Ketika yang lain memberi jaminan jika terjadi keterlambatan, ini malah nambah waktu pengiriman ketika ada keterlambatan.",kok malah turun kwalitas kan makin kesini makin bagus kwalitasnya tokopedia dulu guna sekarang kok jadi kecewa apalagi semenjak kurir rekomendasi ulas 2022 nyata fiturnya makin aneh cantum malah diskon bukan harga yang beri jamin jadi lambat malah nambah waktu kirim ada lambat
WahanaSukses Makmur,"Beli barang di aplikasi ini lebih baik jangan pilih yg kirim instant, sudah bayar ongkir lebih mahal untuk pengiriman ekspres 3 jam sampai. Ternyata 2 hari tidak sampai barangnya. Jasa instant 3 jam hanya penipuan untuk dapat biaya lebih dari pembeli",beli barang aplikasi lebih baik jangan pilih yang kirim instant bayar ongkir lebih mahal kirim ekspres 3 jam nyata 2 hari sampai barang jasa instant 3 jam tipu dapat biaya lebih beli
Yusril Ihza Mahendra,"produk variatif, tampilan aplikasi memudahkan. saya harap terus ada peningkatan aplikasi semakin baik dan memudahkan sekaligus ada perbaikan bug apabila ditemukan. sukses terus Tokopedia",produk variatif tampil aplikasi mudah harap terus tingkat aplikasi makin baik mudah sekaligus baik bug apabila temu sukses terus tokopedia
logika bilhaqqi,"pak ada masalah saat mau menggunakan saldo tokopedia untuk pembayaran tidak bisa di lakukan saldo saya sudah bertambah tapi saat melakukan pembayaran tertulis saldo lama, di akun status saldo terbaru tapi ketika mau bayar malah tertulis saldo lama",pak masalah mau guna saldo tokopedia bayar bisa laku saldo sudah tambah saat laku bayar tulis saldo lama akun status saldo baru ketika mau bayar malah tulis saldo lama
Cahyo N,"sering jaringan eror, kupon diskonnya kok hilang padahal kemarin baru di update? Untuk barangnya sesuai order, asli. Pengiriman on time. Nb: setelah di update, kenapa aplikasi malah error?",sering jaring eror kupon diskon kok hilang padahal kemarin baru update barang sesuai order asli kirim on time nb di update aplikasi malah error
Yoshua,"Kecewa berat sama tokopedia, pesan barang 2 minggu nggak nyampe tiba2 di batalin otomatis, padahal barang udah di bayar, pas di komplain katanya max 1 minggu kalo nggak ada penyelesaian langsung di refund uangnya, tapi sudah lewat 1 minggu nggak ada perkembangan sama sekali.",kecewa berat sama tokopedia pesan barang 2 minggu nyampe tiba2 batalin otomatis padahal barang udah bayar pas komplain kata max 1 minggu kalo ada selesai langsung refund uang sudah lewat 1 minggu ada kembang sama sekali
Tika Azkalova,"Tokopedia makin hari semakin tidak nyaman bagi penjual. CS dari dulu seperti AI automatic reply/jawaban copy paste berulang. Respon lebih dari 30menit, melelahkan. Penyelesaian masalah lama, posting produk baru lebih rumit, iklan tidak pengaruh signifikan, jual brand2 lokal tertentu tdk ada proteksi dari tokopedia dan langsung main hapus2 produk. Review ini jujur murni sebagai penjual",tokopedia makin hari makin nyaman jual cs dulu ai automatic replyjawaban copy paste ulang respon lebih 30menit lelah selesai masalah lama posting produk baru lebih rumit iklan pengaruh signifikan jual brand2 lokal tentu tidak proteksi tokopedia langsung main hapus2 produk review jujur murni jual
WIN AJA,"Saya secara pribadi lebih suka Tokopedia dibandingkan aplikasi online lainnya karena pencarian nya lebih spesifik sesuai dengan yang di ketik. Itu yg membedakan Tokopedia dari yg lainnya. Tapi, kenapa ini kok belakangan malah jadi kayak shopee? Hasil pencarian nya jadi menampilkan banyak banget hasil yg ngak sesuai kata kunci yg diketik?",cara pribadi lebih suka tokopedia banding aplikasi online lain cari nya lebih spesifik sesuai yang ketik yang beda tokopedia yang lain kenapa kok belakang malah jadi kayak shopee hasil cari nya jadi tampil banyak banget hasil yang ngak sesuai kata kunci yang ketik
Cee Monkkk,"sayang sekali saya sudah lama sekali pakai tokped dan sekarang malah opsional pengiriman/pemilihan kurir tidak seperti versi2 sebelumnya yg bisa pilih2 kurir sendiri malah kebanyakan kurir recomendasi yg ujung2nya dialihkan ke jne, jujur klo ke pulau jawa jne itu lambat dan kurirnya tidak mau antar...harap bisa diperbaiki lagi untuk opsional pengiriman/pemilihan kurirnya.",sayang sekali sudah lama sekali pakai tokped sekarang malah opsional pengirimanpemilihan kurir seperti versi2 belum yang pilih2 kurir sendiri malah banyak kurir recomendasi yang ujung2nya alih jne jujur klo pulau jawa jne lambat kurir mau antarharap baik untuk opsional pengirimanpemilihan kurir
