username,review,clean_review
Akagi vi Britania,"Bagus banget sih,gua biasanya beli di toko Oren dan gua iseng iseng coba tokopakedi ternyata bagus juga,banyak diskonnya juga gak kayak sebelah diskonnya udh radak minim",bagus banget sihgua biasa beli toko oren gua iseng iseng coba tokopakedi nyata bagus jugabanyak diskon gak kayak belah diskon udh radak minim
Saka 15,Info yg diberikan cs tidak membantu dan terkesan malas kerja. Tidak bisa melihat pergerakan pengiriman paket lewat map. Layanan bantuan sangat kurang. Kordinasi dengan jasa kirim tidak bagus.,info yang beri cs bantu kes malas kerja bisa lihat gera kirim paket lewat map layan bantu sangat kurang kordinasi jasa kirim bagus
Choky Velociraptor,"flash sale nya error atau gimana, barang flash sale pas di beranda utama sangat berbeda dengan barang di fitur flash sale. barang yg kemarin-kemarin gk di ganti",flash sale nya error gimana barang flash sale pas beranda utama sangat beda barang fitur flash sale barang yang kemarinkemarin gak ganti
Su minah,"setiap belanja di sini pertama lancar,kedua lancar,ketiga mulai tersendat,ke empat pengiriman melebihi estimasi,...ke lima barang gak sampai uang gak di kembalikan",belanja sini pertama lancarkedua lancarketiga mulai tersendatke empat kirim lebih estimasike lima barang gak uang gak kembali
Bintang,Lag parah saat digunakan lumayan cepat. Video review juga sering tidak dapat ditampilkan jadi harus serestart aplikasi terus,lag parah guna lumayan cepat video review sering dapat tampil jadi serestart aplikasi terus
Aldo Wicaksono,"Enak belanja di shopee,selain voucher gratis ongkir nya benar² gratis, ekspedisi nya juga cepat..klw toko ijo subsidi free ongkir rata² dikasih ke ekspedisi lelet (sicepat)",enak belanja shopeeselain voucher gratis ongkir nya benar gratis ekspedisi nya cepatklw toko ijo subsidi free ongkir rata kasih ekspedisi lelet sicepat
Hoesnol Gaezali,"Bagus sih tapi sering eror server,dan sering mensokrol sendiri/balik ke halaman awal,kok semakin gak karu karuan,lemotnya makin parah di apdet malah gak keluar gambar",bagus sih sering eror serverdan sering mensokrol sendiribalik halaman awalkok makin gak karu karuanlemotnya makin parah apdet malah gak keluar gambar
Adi Rizki,Hati hati dengan aplikasi ini. Sekarang main gorok saldo penjual. .. tiba tiba saldo di embat 60rb potongan ongkir 20rb.. okelah potongan ongkir 20rb .. yang 60rb di potong tanpa sebab. Padahal pembeli tidak ajukan komplain.,hati hati aplikasi sekarang main gorok saldo jual tiba tiba saldo embat 60rb potong ongkir 20rb oke potong ongkir 20rb 60rb potong sebab padahal beli aju komplain
Azzam Alfarizi,"klo ngasih promo,diskon,atau kupon itu yg bner.diksih pemberitahuan kpan brarkhirnya.jd kita pembeli bsa nggunain.klo gk ada pembrthn/pengumuman.tau"" kupon,diskon,promo.gk bsa di gunain smua,,kecewa parah",klo ngasih promodiskonatau kupon yang bnerdiksih pemberitahuan kpan brarkhirnyajd beli bsa nggunainklo gak pembrthnpengumumantau kupondiskonpromogk bsa gunain smuakecewa parah
Kudogawa kun,"Min, ko pas transaksi sering muncul halaman web tidak tersedia gimana sih ini ..ngebug atau gimana ..sya coba tes ke merchant lain normal normal aj ..",min ko pas transaksi sering muncul halaman web sedia gimana sih ngebug gimana sya coba tes merchant normal normal aj
Cnyl,"Maaf kenapa pilihan bayar uang kuliah universitas terbuka tiba2 hilang? Pertama kali saya coba masih ada pilihannya tetapi tidak berhasil pas mau bayar, terus saya coba lagi malah hilang pilihannya. Sudah dicoba berkali2 tetap tidak muncul. Mohon solusinya",maaf pilih bayar uang kuliah universitas buka tiba2 hilang pertama kali coba ada pilih hasil pas mau bayar terus coba malah hilang pilih coba berkali2 tetap tidak muncul mohon solusi
Bambang Setia Budi,"Mantap,banyak pilihan...yg pasti bisa lebih murah...sering belanja disini tapi buat upload foto/video belanjaan susah bgt gak kayak shopee",mantapbanyak pilihanyg bisa lebih murahsering belanja sini buat upload fotovideo belanja susah banget gak kayak shopee
