username,review,product
M***n,Pas sampai di hari libur. Semoga cocok produknya. Terima kasih Admin & kurir :-D,Yessica's 5in1 Crystal Glowing Cream Krim Wajah Goat Milk Moisturizer Facial Moist Pelembab Wajah Yessica
Muhammad,mantap,ELVICTO Brightening Serum For Men Serum Wajah Whitening Pencerah 
A***i,alhamdulillah brg selamat poko nya the best toko nya,Geamoore Parfum Wanita Addicted Series 15ml EDP Geamore Geamor
keysha,mantap toko nya amanah, FEALI 5x Pro-Xylane Anti Aging Moisturizing Cream And Goat Milk
F***a,"oriii, ringan, ga bikin kulit ketarik, bisa untuk mencerahkan, murah lagii😭😭",MS Glow Face Wash | Sabun Wajah MS Glow MSGlow
S***i,mantapp,Braven Code For Men Eau De Parfum Parfume Tahan Lama Fragrance 
Alya,"warnanya bagus, lumayan tahan lama",Azarine x Red Velvet Tinted Lippie Cake Lip Tint Stain 
r***a,bahan nya ringgap gampang diserap,STUDIO TROPIK Priming Water BB Size Series Setting Spray
a***a,"sesuai bgt, wangi + ori pokonya mantap dehh 🥹🤍",Mooi Pure Glow Tone Up Booster Serum Glowing Wajah Lotion Pencerah Kulit Hand Body Body Lotion
d***i,"melembabkan, beruntusan berkurang, komedo berkurang, bagus deh",NPURE 30ML Face Toner Centella Asiatica (Cica Series)
R***a,makasih pesenannya udah datang semoga cocok 🥰,Ms Glow Paket Acne Series Free Pouch / Cream Penghilang Jerawat
Fadila,bahan nya cepet menyerap,Camille Little Pop Face Mist Setting Spray Makeup Penyegar Wajah 
S***i,"Baru pertama pakai, & Smg cocok",BIBILOP Lightening Underarm Spray 2in1 Deodorant & Whitening Cream Deo Spray
N***a,maaf min karena barang nyampe gak tempat waktu hampir seminggu malahan jadi ⭐ 3 dulu yaa,Evangeline Musk Series Parfum Wanita Eau De Parfume Tahan Lama
sasmita,teman saya pakai produk ini cocok di kulitnya.,Glad2Glow Centella Blueberry 5% Ceramide Pomegranate 5% Niacinamide Yuja Symwhite 377 Moisturizer Pelembab Gel
C***a,"belum di pakai, semoga warna awet dan hasil memuaskan",Diosys Semir Rambut Cat Pewarna Rambut Hari Color Permanent Dyosis
A***N,"cocok, udah botol ke 4",Secret Clean Propolis Antiseptic Mouthwash Obat Kumur Pembersih Mulut
Risa,"bahannya ringan cepet menyerap trus bagus banget, tokonya juga amanah pokoknya the beast dehh",Glad2Glow Centella Blueberry 5% Ceramide Pomegranate 5% Niacinamide Yuja Symwhite 377 Moisturizer Pelembab Gel
B***s,"bau nya enak, lumayan lah buat harga segini 😁",Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume
Indana,besttttttt🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰😝🥰,Nuface Cover Me Sun Shield Sunscreen Wajah SPF 30 / SPF 50 Sunblock
M***S,bakal jadi member ni kayanya aku,Talkme Black Bacarat - 35ml Eau De Parfume Cowok Tahan Lama Talkme
Y***i,bagus dan harum wangi membuat pipi jadi lebih bersih Oke gitu ya,Body White Aha Brightening Body Toner 250ml Toner Badan 
S***i,sd dtng kemasan aman,Fameux Body Cream ( Bleaching) 500 ml
Yustivan,Mantan pengiriman cepat,FACETOLOGY Triple Care Sunscreen SPF 40 PA+++ Sunblock Wajah 
F***n,mantaappp barang Sangat sesuaii👍👍👍👍👍,Braven Code For Men Eau De Parfum Parfume Tahan Lama Fragrance 
Wahyu,Sangat Baik,Yessica's 5in1 Crystal Glowing Cream Krim Wajah Goat Milk Moisturizer Facial Moist Pelembab Wajah Yessica
Dewi,"makasih tokopedia..
dapat diskon 10 rb.
barangnya mantul tdk ada lecet samasekali.
semoga cocok di kulit aku.",Autumn 5% NIA – HYA Whitening Toner Badan & Wajah Brightening Toner Face Toner
Azka,"beli dua, dapet dua..",Parfum Evangeline Batik Aura 100ml / Evangeline Batik 100ml Aura
Susi,after nya ada abu² nya,ISWHITE 5in1 Glow Body Sunscreen SPF 45 PA+++ Sunblock Badan 
Angga,"Aromanya enak, meskipun daya tahannya kurang lama 👍",Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume
A***a,"real pict, baguss mana murah bgtt top deh",Mooi Pure Glow Tone Up Booster Serum Glowing Wajah Lotion Pencerah Kulit Hand Body Body Lotion
Dewi,ternyata wangi nya soft banget.. suka sekali,Evangeline Premium EDP 100ml Parfum Wanita Perfume Tahan Lama
Vivi,"Suka bangettt wanginya aku bangett, udah lama pingin beli akhirnya kebeli jugaa, makasihh admin",CARESO Body Frangrance Series - 100ml Body Perfume Spray
f***i,nyobain ganti dan ternyata nyaman banget gada rasa keset tapi berasa beraih terus wanginya juga gentle bukan yang nyengat parah kayaknya kalau habis bakal purchase merk i... ,Milk Recipe Gentle Feminine Wash Mengurangi Bau Pembersih Kewanitaan
S***a,wangi,CARESO Body Frangrance Series - 100ml Body Perfume Spray
Kj,"efek langsung kerasa, raambut kering kaku langsung jadi lemes, wangi juga. bakal langganan kek nya😆",Makarizo Hair Energy FIbertherapy Hair & Scalp Creambath Masker Rambut
M***a,"lucuuu mungil, warnanya juga Pigmented bgt bagusss😍😍",Goute Goublush All in One Cream Blush for Blush On Eye Shadow 
y***i,"fast respon, semoga cocok. makasih",Golden Viera Soap / Sabun Pembersih Wajah Berjerawat / Sabun Jerawat
Astrid,seller ramah pengiriman cepat puas pokok e,Diosys Semir Rambut Cat Pewarna Rambut Hari Color Permanent Dyosis
m***n,salah kirim,Animate Acne Solution Series 5in1 Paket Skincare Penghilang Jerawat
B***t,"Oke sesuai deskripsi dan pesanan, Terima kasih.....",SKINTIFIC Symwhite 377 Dark Spot Moisturizer Gel Cream Flek Hitam
B***t,"Oke sesuai deskripsi dan pesanan, Terima kasih.....",SKINTIFIC 5X Ceramide Serum Sunscreen SPF50 PA++++ Sunblock Wajah UVA
Welly,ok,MS Glow Face Wash | Sabun Wajah MS Glow MSGlow
M***l,"sekitar seminggu pemakaian, masih ada ketombe dan tetep gatel. kurang efektif.",FELAUFEE Dandruff Treatment Serum Shampoo Anti Ketombe Sampo Anti Lepek
I***a,"Barang datang dengan selamat, packing rapih, produk ringan saat dipakai dan membuat make up tahan lama",STUDIO TROPIK Priming Water BB Size Series Setting Spray
Sri,"produknya,kwalitasnya bgs,sy cocok sdh lama pakai produk ini. dan rasa puas,di kulit wajah JD halus,TDK kering,lembab trs.",Azarine C-White Brightening Facial Cleanser / Face Cleanser Azarine
D***a,😁 wangi banget parfumnya,Braven Code For Men Eau De Parfum Parfume Tahan Lama Fragrance 
s***i,biar bintang yang berbicara❤️,Vaseline Gluta-Hya Serum Burst Lotion Body Serum Body Lotion
o***a,tekstur nya ringan bahan nya enak pengemasan nya cepet sih pengiriman nya juga ori barang nya,SKINTIFIC 5X Ceramide Skin Barrier Moisture Gel Moisturizer Cream
