username,review,product
GeeK,trima kasih paket sudah mendarat dan sesuai dengan pesanan,The Originote Bright B3 Serum Niacinamide + Glutathione - 20ml
Zarya,"Paket ok, aman dengan bubble wrap. Produk ok, sesuai, tidak terlihat cacat dan EXP masih lama. Terina kasig.",Somethinc Low pH Gentle Jelly Cleanser Sabun Wajah Face Wash Somethinc
H***a,baguss,Autumn 5% NIA – HYA Whitening Toner Badan & Wajah Brightening Toner Face Toner
n***a,"teksturnya agak susah dibland,tapi masih gampang ngerti gak sihh😭,tipkul aku normal to dry semoga cocok💋💋",Animate Instant Glow Sunscreen Protection Sunblock Wajah SPF50+
jumaini,belum ada hasilnya masih 2 hari pemakaian,Autumn 5% NIA – HYA Whitening Toner Badan & Wajah Brightening Toner Face Toner
A***s,Pengiriman sampai 6 hari,Herborist Olive Oil + Collagen Series Minyak Zaitun Collagen
susilawati,cepatbpengirimannya,Nuface Nu Flawless Loose Powder Series Bedak Tabur Wajah
f***i,"product sesuai dengan deskripsi, baru 3 hari pakai udah terasa perbedaanya. cuman pengirimannya aja lama",KELAYA Hair Treatment Shampoo Extract Aloe Vera & Minyak Kemiri
Bayu,bagus,STUDIO TROPIK Priming Water BB Size Series Setting Spray
G***g,enak wanginya bau kue ada aroma vanilla sedikit sebelumnya nyoba yg black vanilla seger kalo yg ini maniss kalo didiemin lama2 jadi soft wanginya,Evangeline Premium EDP 100ml Parfum Wanita Perfume Tahan Lama
Annishaa,"Bagus barang sesuai pesanan, cantik aku suka 
Pengiriman cepat respon toko juga cepat.
Tokonya amanah terimakasih ya😘",Body White AHA Body Booster White Serum
Muhammad,bagus  cepat memutihkan dan tidak lengket,KOJIE SAN Body Lotion Series Hand Body Pemutih Kojiesan
Diffa,"lucu bangett gemes, aku dapet free produk sheet mask juga makasih yaaa",Pipiqiu 7% Panthenol + 7% Cica Mugwort Skin Barrier Soothing Moisture Gel Pelembab Wajah Moisturizer
mitha,tekstur ringan wanginya enak,Mooi Pure Glow Tone Up Booster Serum Glowing Wajah Lotion Pencerah Kulit Hand Body Body Lotion
R***d,Semoga cocok. Respon admin positif,AMATERASUN UV Sunscreen Serum SPF 50+ PA++ Sunblock Wajah
R***d,Packingan mantabb. kiriman sesuai,Braven Black Series - 100ml Eau De Parfume Men
R***d,pesan yg coklat dapat yang abu2,Kahf Gentle Exfoliating Face Scrub Sabun Wajah Noda Hitam Pria
O***a,"packing rapi, makasih",Autumn 5% NIA – HYA Whitening Toner Badan & Wajah Brightening Toner Face Toner
G***g,"Barang Original
Wangi Dan Tahan Lama Cocok Dipakai Siang Hari",Braven Men Sport Deodorant Roll On - 50ml Anti Perspirant Quick Dry
zzavii,"sumpa bagus BANGETTT, aku co tanggal 27 sampe tanggal 28. IH LOVV LOVV BGTTT. dapat harga 14k lagii MAKASII SELLER DAN TOKOPEDIA😻😻😻😻😻😻",Glad2Glow Centella Blueberry 5% Ceramide Pomegranate 5% Niacinamide Yuja Symwhite 377 Moisturizer Pelembab Gel
T***a,"bagus banget, bau nya tidak menyengat, pas di pakai rasanya seger banget,dan bisa melembabkan kulit, btw type kulit wajah ku berminyak ya ,dan cocok banget pakek ini",Autumn 5% NIA – HYA Whitening Toner Badan & Wajah Brightening Toner Face Toner
pagimin,cepet banget. tanks. toko dn kurir,Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume
Irman,Lawack cik😹,KELAYA Hair Treatment Shampoo Extract Aloe Vera & Minyak Kemiri
Asih,"sepertinya barang yg terima palsu, isinya air putih, bukan seperti aslinya.
sy kecewa 
ada lakban yg menutupi",Reglow Sunscreen Luxury Glow Up Protection SPF 50 PA+++ Sunblock Spray
iwi,"paket udh d terima,kurir nya baik, barang nya ok,next time order lg 🙏😊",The Face Cream Temulawak Krim Wajah Siang & Malam Whitening Cream
Vica,"Alhamdulillah pesanan sampe packing Aman. 
dpt harga murah... 
kurir Ramah, tp gag anterin depan rumah.",Glad2Glow Serum Series Centella Acne Serum Yuja Jeju Vit C Retinol Peeling Serum Wajah
N***n,perih dipakai,Reglow Sunscreen Luxury Glow Up Protection SPF 50 PA+++ Sunblock Spray
Galang,kaget pake banget beli sabun muka dapet bonus kaya gini..,BROMEN Brightening Soap Facial Wash Sabun Cuci Muka Pria Pencerah
Farend,mantap,The Originote Ceratides Serum 20ml - Serum Memperbaiki Skin Barrier
N***i,kulit aku normal cocok pake cream whitening night soalnya mudah juga diaplikasikan enak bikin muka cerah,Night Cream MS Glow | Cream Malam Krim Malam MS Glow Series
G***a,paket sdh smp.dgn amn n pack rapi..smg sllu jd lngganan..tq toped n kurirnya,Reglow Sunscreen Luxury Glow Up Protection SPF 50 PA+++ Sunblock Spray
Lucy,"Fast response, harga bersahabat, recomend seller, tq ya seller

Cocok di kulit saya, ada perubahan jd cerah, flek memudar",SKINTIFIC 10% Vitamin C Brightening Glow Serum Glowing Facial Serum
Luqman,Awalnya pengen bira sama bajo tapi abis dan seller menawarkan gili dan toba... ternyata cakeeep... 😄😆,BLP Airy Tint Lip Tint & Stain Lip Color Matte Tahan Lama
Landung,wangi fresh,Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume
ADANI,"pengiriman cepat, sudah dilapisi bubble wrap tapi masih penyok boxnya untung ga rusak botolnya mungkin dari pihak pengirimnya",ELVICTO Extrait De Parfum Series For Men EDP Perfume Tahan Lama Cologne Pria
Ina,Mantap deh pokoknya real pict 😍😍,BIOAQUA Niacinamide/Hyaluronic/Acne/Hexapeptide Antiaging Serum - 30ml
A***a,Semoga awet,ELVICTO Extrait De Parfum Series For Men EDP Perfume Tahan Lama Cologne Pria
Howdy,"sesuai orderan,  cmn telat kirimnya pdhl pake kurir next day krn urgent, penjualnya ga ada info kl barangnya lg abis, kl ga ditanya ga ada infonya...",Evangeline Premium EDP 100ml Parfum Wanita Perfume Tahan Lama
Howdy,"sesuai orderan,  cmn telat kirimnya pdhl pake kurir next day krn urgent, penjualnya ga ada info kl barangnya lg abis, kl ga ditanya ga ada infonya...",Talkme Gold Series Parfum Romawi British Oud Parfume Talk Me - 30ml
Howdy,"sesuai orderan,  cmn telat kirimnya pdhl pake kurir next day krn urgent, penjualnya ga ada info kl barangnya lg abis, kl ga ditanya ga ada infonya...",Grace And Glow 2in1 Hair Care & Perfume / Parfum Vitamin Rambut Spray
Howdy,"sesuai orderan,  cmn telat kirimnya pdhl pake kurir next day krn urgent, penjualnya ga ada info kl barangnya lg abis, kl ga ditanya ga ada infonya...",Scarlett Whitening Eau De Parfum EDP Perfume Tahan Lama Parfume
Howdy,"sesuai orderan,  cmn telat kirimnya pdhl pake kurir next day krn urgent, penjualnya ga ada info kl barangnya lg abis, kl ga ditanya ga ada infonya...",MINISO Zodiac Perfume Series Parfum Mini Zodiak EDT Tahan Lama Parfume Travel Eau de Toilette
Howdy,"sesuai orderan,  cmn telat kirimnya pdhl pake kurir next day krn urgent, penjualnya ga ada info kl barangnya lg abis, kl ga ditanya ga ada infonya...",Parfum Evangeline Selection 100ml Parfum Wanita Tahan Lama
Ahmad,"enak sih pas di pake bagus juga ,cuma pas nyampe barang nya tutup ny ga rapet jadi bocor banyak rembesan di bubble wrap ny , pengiriman ny tolong dong ,itu ada penyok jug... ",Autumn 5% NIA – HYA Whitening Toner Badan & Wajah Brightening Toner Face Toner
rahma,"agak lamat,.. tapi sampai dengan selamat 
baru pertama x pakek si 
semoga cocok 👍👍👍",Scarlett Cream Acne / Brightly Day Night Cream Scarlett Whitening
Jamal,"packing top markotop, pengiriman tepat waktu...baunya segar mantep pokoknya...semoga awet untuk wanginya...recommended untuk tokonya",Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume
Bayu,bahannya ringan tekstur lembur kental tp mudah menyerap dan melembapkan dan mencerahkan juga,The Originote Brightening Moisturizer Pelembab Wajah With Niacinamide
Bayu,"Bahannya ringan tekstur kental tp mudah menyerap ke kulit, dan lumayan bikin cerah",The Originote Brightening Moisturizer Pelembab Wajah With Niacinamide
Ridwan,sesuai pesanan...thx,Braven Code For Men Eau De Parfum Parfume Tahan Lama Fragrance
diana,bocor,Mustika Ratu Hair Care - Minyak Zaitun Hair Oil Cem-Ceman Hair Tonic
Risky,Sipp,Ms Glow Men Energizer Facial Wash / Face Wash MsGlow Men
R***a,"produk sesuai pesanan. penjual responsif, expired msh lama. terimakasih.",Makarizo Hair Energy Fibertherapy Conditioning Shampoo Shampo 2in1
F***n,Oke oke oke...,ELVICTO Deep Clean Facewash Sabun Pembersih Wajah Facewash For Men
E***a,"Terimakasih gift no wonder 8 nya, bagus & terpakai",Somethinc HYALuronic9+ Advanced + B5 Serum Wajah Hydrathing Serum
Ahmad,"pengiriman sangat lama, jadi bintang 4 saja",Glad2Glow Toner Centella Propolis Brightening Exfoliating Toner Face Toner Acne
D***i,bsnahabbaabananananananananananananananannaannaananan,Parfum Pria Braven Sport -100ml Eau De Parfum Men Tahan Lama
Hera,"pas buka wrappingx,, yg variant refresh agak tumpah sdkit jdi btol nya bsah tpi takpelah 
semoga cocok",Kelaya Hair Revitalizer Mist Hair Parfum Vitamin Rambut Hair Care
Hera,"baru coba
semoga cocok",Kelaya Hair Care Series Hair Serum & Hair Treatment Minyak Kemiri
Mardi,"Produknya kurang menunjukkan hasil, kekurangan nya memiliki efek white cast yang mana setelah penggunaan, kulit  jadinya lebih ke pucat dan tidak fresh, setelah penggunaa... ",KOJIE SAN Body Lotion Series Hand Body Pemutih Kojiesan
Gie,"ini untuk cewek atau udah cerah dari aslinya kalau cocok bikin tambah aegerrrr...kalau untuk kulit gelap/cowok lumayan bikin cerah, cuma melembabkan aja. tapi dipakai ena... ",Nuface Nu Glow Facial Serum Vitamin C - 20 ml
Gie,"ini untuk kulit cewek atau udah cerah dari aslinya... kalau untuk kulit gelap/cowok ga bakalan cerah, cuma melembabkan aja. tapi dipakai enak cepet merata. 
trims Tokoped... ",Nuface Nu Glow Liquid Brighten & Supple Skin Serum (Niacinamide Serum)
D***a,"barang mendarat dengan selamat..
wanginya lumayan tahan lama.",Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume
F***h,"Oke barang sesuai pesanan.. packing aman, exp date aman.. mantap 👍",Secret Clean Propolis Antiseptic Mouthwash Obat Kumur Pembersih Mulut
Erni,krim nya bau tidak seperti biasa nya,MS Glow Whitening Day Cream | Krim Crem Pagi Ms Glow
Muhammad,"pas di unbox puas banget pacing rapih udah pake bubble warp sama ada kardusnya, mantep abiesss",Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume
Apipudin,mantaappp.. barang original,MS Glow Men Power Serum Original Serum MSGlow For Men
Apipudin,mantaaappp.. barang original,Ms Glow Men Energizer Facial Wash / Face Wash MsGlow Men
Irma,"barang sudah sampai, sesuai pesanan makasih kk",SALSA Nail Peel Off Kuteks Set Cat Kuku Nail Polish Halal Kutek Hijab
alpa,maannntaaaappp,Bright & Glow Face Soap by Kojic Plankton | Brightening Soap - 40gr
alpa,joosss,Kahf Skin Energizing And Brightening Face Wash Sabun Wajah Pria
nur,wangi bener,Braven Black Series - 100ml Eau De Parfume Men
M***d,Parfum sangat wangi untuk harga kantong pelajar,Braven Code For Men Eau De Parfum Parfume Tahan Lama Fragrance
Zulham,"Sesuai dengan pesanan, seller responsif, pengiriman cepat and thanks bonus tasnya",Ms Glow Paket Whitening Series With White Cell DNA Pencerah Wajah MsGlow
s***a,"barang ori, cocok dikulit berminyak, exp jg masih lama dan sellernya ramah.",EIEM Beauty Series Moisturizer/ Serum Brightening Acne Hydrating Toner
s***a,"barang ori, harga terjangkau dan adminnya ramah bgtt.",Mustika Ratu Hair Care - Minyak Zaitun Hair Oil Cem-Ceman Hair Tonic
kusmana,paket sudah diterima pengiriman cepat barang ok anak saya senang👍👍,Yessica's Clay Stick Mask Tea Three & Strawberry Anti Pores & Acne Masker Wajah
kayvan,"alhamdulillah barangnya sudah sampai dan wanginya enak bangett, nanti mau coba varian lainnya dari elvicto. keep it upp !!",ELVICTO Extrait De Parfum Series For Men EDP Perfume Tahan Lama Cologne Pria
